name,level,group,n,n_eff,K_eff,alpha_cv,s2,v_cv,v_cv_fold,v_cv_delta,v_cv_delta_cl,n_clusters,alpha_shift,v_shift,Z_heur,factor_cv_heur,Z_bs1,a_bs1,factor_cv_bs1,Z_bsmean,a_bsmean,theta_bsmean,factor_cv_bsmean,Z_shift_bs1,a_shift_bs1,factor_shift_bs1,Z_bs1_cl,a_bs1_cl,factor_cv_bs1_cl,Z_zcv,factor_cv_zcv,dev_lag,duan_S,isotonic,has_record,n_estimators_cap
hgb_gamma__per_dy__raw__two_stage,dy,2,28988.0,16192.0,3.0,1.069805664607164,0.0053537676901116,0.0004753245958441,0.0017845892300372,0.0004753245958441,0.0004753245958441,28988.0,1.069803029714178,0.0004752887110659,1.0,1.069805664607164,0.9947273051690136,0.089672998241046,1.0694376006402162,0.0,0.0,1.2673561548379948,1.2673561548379948,0.9947292115578462,0.0896988315903228,1.0694351127119333,0.9947273051690136,0.089672998241046,1.0694376006402162,0.75,1.052354248455373,,,,,
hgb_gamma__per_dy__raw__two_stage,dy,3,25377.0,4799.0,3.0,1.3237542622107754,0.0332369961423515,0.0024160291461253,0.0110789987141171,0.0024160291461253,0.0024160291461253,25377.0,1.3237179501957224,0.0024154884795455,1.0,1.3237542622107754,0.9737642017222354,0.089672998241046,1.3152603106958471,0.0,0.0,1.2673561548379948,1.2673561548379948,0.9737772750456885,0.0896988315903228,1.3152291834249663,0.9737642017222354,0.089672998241046,1.3152603106958471,0.75,1.2428156966580817,,,,,
hgb_gamma__per_dy__raw__two_stage,dy,4,21277.0,1929.0,3.0,1.290031567317395,0.0199193533041611,0.0072060561748948,0.0066397844347203,0.0072060561748948,0.0072060561748948,21277.0,1.289974924317422,0.0072032543167601,1.0,1.290031567317395,0.925618017038478,0.089672998241046,1.268458444218889,0.0,0.0,1.2673561548379948,1.2673561548379948,0.92566461031946,0.0896988315903228,1.2684195253207011,0.925618017038478,0.089672998241046,1.268458444218889,0.75,1.2175236754880463,,,,,
hgb_gamma__per_dy__raw__two_stage,dy,5,17162.0,753.0,3.0,1.9331399264329476,1.6816833198256262,0.1503086904859386,0.5605611066085421,0.1503086904859386,0.1503086904859386,17162.0,1.9326991902772757,0.1501667936452494,0.5947867298578199,1.5550192453428195,0.3736660022551246,0.089672998241046,1.3486826658548403,0.0,0.0,1.2673561548379948,1.2673561548379948,0.3739545068295196,0.0896988315903228,1.348787065720431,0.3736660022551245,0.089672998241046,1.3486826658548403,0.75,1.699854944824711,,,,,
hgb_gamma__per_dy__raw__two_stage,dy,6,12899.0,236.0,3.0,1.2141336945872403,0.1939952258446529,0.1811931003780457,0.0646650752815509,0.1811931003780457,0.1811931003780457,12899.0,1.214056888206844,0.1810633809245001,1.0,1.2141336945872403,0.3310602496887203,0.089672998241046,1.07089115439682,0.0,0.0,1.2673561548379948,1.2673561548379948,0.3312826806857777,0.0896988315903228,1.0709133397444193,0.3310602496887204,0.089672998241046,1.07089115439682,0.75,1.1606002709404302,,,,,
hgb_gamma__per_dy__raw__two_stage,dy,7,9190.0,82.0,3.0,1.2885238842403657,0.3021723283807093,0.1425671897218807,0.1007241094602364,0.1425671897218807,0.1425671897218807,9190.0,1.288370413712232,0.1424160557634046,1.0,1.2885238842403657,0.3861217949727152,0.089672998241046,1.1114053600753897,0.0,0.0,1.2673561548379948,1.2673561548379948,0.3864415273529087,0.0896988315903228,1.1114383031183452,0.3861217949727152,0.089672998241046,1.11140536007539,0.75,1.216392913180274,,,,,
hgb_gamma__per_dy__raw__two_stage,dy,8,5691.0,20.0,3.0,1.20739679835708,1.250003200303326,0.1247934101682073,0.4166677334344419,0.1247934101682073,0.1247934101682072,5691.0,1.20644480015578,0.1236442299449145,0.4,1.082958719342832,0.4181214154056633,0.089672998241046,1.0867170428796653,0.0,0.0,1.2673561548379948,1.2673561548379948,0.4204441004307396,0.0896988315903228,1.086798498290101,0.4181214154056634,0.089672998241046,1.0867170428796653,0.75,1.15554759876781,,,,,
hgb_gamma__per_dy__raw__two_stage,type,__global__,28988.0,16192.0,3.0,1.069805664607164,0.0053537676901116,0.0004753245958441,0.0017845892300372,0.0004753245958441,0.0004753245958441,28988.0,1.069803029714178,0.0004752887110659,1.0,,,,,,,,,,,,,,,,,2.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Annuity,92.0,51.0,3.0,11.47342943619825,39.08244626014358,9.85270348787414,13.027482086714526,9.85270348787414,9.852703487874145,92.0,11.47303843867559,9.851962251881057,0.0255895634721525,1.268010487328706,0.6280863357871417,16.639206963243666,7.578217917706948,0.6254722189806092,16.454299589593234,2.309308187677303,8.041211439997051,0.628086485295128,16.63796581566705,7.577973903308527,0.6280863357871416,16.639206963243666,7.578217917706947,,,2.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Bodily,2857.0,1698.0,3.0,1.2465814128995296,0.0728847152602064,0.0064738305429534,0.0242949050867354,0.0064738305429534,0.0064738305429534,2857.0,1.2465765329438494,0.0064735739610484,1.0,1.2465814128995296,0.9996110804584591,16.639206963243666,1.2464855125694725,0.9996067116424168,16.454299589593234,2.309308187677303,1.2469993709673417,0.9996110668668672,16.63796581566705,1.2464806311603345,0.9996110804584591,16.639206963243666,1.2464855125694725,,,2.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Lost,22.0,18.0,3.0,1.2751045776900989,0.0295813779882838,0.1112404797322096,0.0098604593294279,0.1112404797322096,0.1112404797322096,22.0,1.275095286021852,0.1112328816798249,0.36,1.0990376479684356,0.993358954731752,16.639206963243666,1.2732775957361566,0.993284826255789,16.454299589593234,2.309308187677303,1.282049434618053,0.9933589132417752,16.63796581566705,1.2732683543606025,0.993358954731752,16.639206963243666,1.2732775957361566,,,2.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Material,22070.0,12754.0,3.0,0.9790268275195928,0.0027332857074573,0.0001899023113773,0.0009110952358191,0.0001899023113773,0.0001899023113773,22070.0,0.9790276490284562,0.0001898874363508,1.0,0.9790268275195928,0.9999885871878104,16.639206963243666,0.9790270668824714,0.9999884589363,16.454299589593234,2.309308187677303,0.9790421803815096,0.9999885872304756,16.63796581566705,0.9790278883810642,0.9999885871878104,16.639206963243666,0.9790270668824714,,,2.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Remaining,39.0,27.0,3.0,1.2378299332754832,0.1732145370342375,0.0785317424156347,0.0577381790114125,0.0785317424156347,0.0785317424156347,39.0,1.237823026220621,0.0785271348887895,0.54,1.128428163968761,0.9953024901394678,16.639206963243666,1.236712724818792,0.9952499519992324,16.454299589593234,2.309308187677303,1.2429195064156704,0.9953024156968177,16.63796581566705,1.2367058325057116,0.9953024901394678,16.639206963243666,1.236712724818792,,,2.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Technical,3908.0,1644.0,3.0,1.0631863364188607,0.0214696182859696,0.0058233187750144,0.0071565394286565,0.0058233187750144,0.0058233187750144,3908.0,1.0631819034278778,0.0058225013439,1.0,1.0631863364188607,0.9996501466998648,16.639206963243666,1.063164230470541,0.999646216567918,16.454299589593234,2.309308187677303,1.0636271936841917,0.9996501697069802,16.63796581566705,1.063159800484088,0.9996501466998648,16.639206963243666,1.063164230470541,,,2.0,,,,
hgb_gamma__per_dy__raw__two_stage,arms,2,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,True,True,100.0
hgb_gamma__per_dy__raw__two_stage,type,__global__,25377.0,4799.0,3.0,1.3237542622107754,0.0332369961423515,0.0024160291461253,0.0110789987141171,0.0024160291461253,0.0024160291461253,25377.0,1.3237179501957224,0.0024154884795455,1.0,,,,,,,,,,,,,,,,,3.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Annuity,92.0,72.0,3.0,2.159901192891922,0.509052956478944,0.0980067628965481,0.1696843188263146,0.0980067628965481,0.0980067628965481,92.0,2.1598952281911226,0.0980057450417536,1.0,2.159901192891922,0.8215285498994415,0.4511385645007854,1.9528919450231332,0.6330621829391893,0.1690868925941475,1.518182677108135,1.924430401542716,0.821513702822131,0.4510881999353608,1.9528698237970097,0.8215285498994415,0.4511385645007854,1.9528919450231332,,,3.0,,,,
