name,level,group,n,n_eff,K_eff,alpha_cv,s2,v_cv,v_cv_fold,v_cv_delta,v_cv_delta_cl,n_clusters,alpha_shift,v_shift,Z_heur,factor_cv_heur,Z_bs1,a_bs1,factor_cv_bs1,Z_bsmean,a_bsmean,theta_bsmean,factor_cv_bsmean,Z_shift_bs1,a_shift_bs1,factor_shift_bs1,Z_bs1_cl,a_bs1_cl,factor_cv_bs1_cl,Z_zcv,factor_cv_zcv,dev_lag,duan_S,isotonic,has_record,n_estimators_cap
random_forest__per_dy__log1p__two_stage,dy,2,28988.0,16192.0,3.0,1.9354495856364475,0.0214300637709758,0.0015438588321933,0.0071433545903252,0.0015438588321933,0.0015438588321933,28988.0,1.9353857068866216,0.0015436472048745,1.0,1.9354495856364475,0.9997542559047494,6.280840385719351,1.9352197044243729,0.998225586819068,0.8685234111722158,2.9574143585803783,1.9372629734000073,0.9997533382236696,6.256609633937396,1.935154982986607,0.9997542559047494,6.280840385719351,1.9352197044243729,0.95,1.8886771063546253,,,,,
random_forest__per_dy__log1p__two_stage,dy,3,25377.0,4799.0,3.0,2.38847572896778,0.2273262332110208,0.0078910404230818,0.0757754110703402,0.0078910404230818,0.0078910404230818,25377.0,2.388194767067236,0.0078878055233315,1.0,2.38847572896778,0.9987452095043718,6.280840385719351,2.386733482819661,0.9909962228387288,0.8685234111722158,2.9574143585803783,2.393598325607251,0.9987408717778946,6.256609633937396,2.3864468518582425,0.9987452095043718,6.280840385719351,2.386733482819661,0.95,2.3190519425193914,,,,,
random_forest__per_dy__log1p__two_stage,dy,4,21277.0,1929.0,3.0,2.9959789714927805,0.3010798913909291,0.0368829168775122,0.1003599637969763,0.0368829168775122,0.0368829168775122,21277.0,2.995073899318557,0.0368492472492272,1.0,2.9959789714927805,0.9941619923648204,6.280840385719351,2.984326431017548,0.9592636855576666,0.8685234111722158,2.9574143585803783,2.994407991294834,0.9941448338751552,6.256609633937396,2.983392410206705,0.9941619923648204,6.280840385719351,2.984326431017548,0.95,2.896180022918142,,,,,
random_forest__per_dy__log1p__two_stage,dy,5,17162.0,753.0,3.0,4.227179298719325,8.0002131903689,0.7546612176108665,2.6667377301229664,0.7546612176108665,0.7546612176108666,17162.0,4.2238481115876905,0.753120317243042,0.125,1.4033974123399156,0.8927352646393184,6.280840385719351,3.881016765280727,0.5350737037371752,0.8685234111722158,2.9574143585803783,3.6368321879761374,0.8925607230965843,6.256609633937396,3.8774802016322663,0.8927352646393184,6.280840385719351,3.881016765280727,0.95,4.065820333783359,,,,,
random_forest__per_dy__log1p__two_stage,dy,6,12899.0,236.0,3.0,5.520661089158774,5.3136153949251295,3.479334202754052,1.77120513164171,3.479334202754052,3.479334202754051,12899.0,5.513297549460582,3.4682071997776616,0.1881977671451355,1.8507783229995776,0.6435172167039834,6.280840385719351,3.909123241757453,0.1997589360770047,0.8685234111722158,2.9574143585803783,3.4694457983835796,0.6433652932409275,6.256609633937396,3.903699001392267,0.6435172167039834,6.280840385719351,3.909123241757453,0.95,5.294628034700835,,,,,
random_forest__per_dy__log1p__two_stage,dy,7,9190.0,82.0,3.0,4.026224497470227,4.894202894694868,1.5157465537073938,1.6314009648982897,1.5157465537073938,1.515746553707394,9190.0,4.0212003852379885,1.5104263738408452,0.2044887780548628,1.6188289496073782,0.8055884497301788,6.280840385719351,3.4378915014525298,0.3642722610969394,0.8685234111722158,2.9574143585803783,3.346752244557117,0.8055337489966263,6.256609633937396,3.4336788727908085,0.8055884497301788,6.280840385719351,3.4378915014525298,0.95,3.874913272596716,,,,,
random_forest__per_dy__log1p__two_stage,dy,8,5691.0,20.0,3.0,2.898717709705721,3.454322880808405,0.6391469009566452,1.1514409602694684,0.6391469009566452,0.6391469009566451,5691.0,2.8779271195635845,0.6253624180110061,0.2898550724637681,1.5503529593349916,0.9076375613886916,6.280840385719351,2.7233475118028223,0.5760698504077082,0.8685234111722158,2.9574143585803783,2.9236009888437207,0.9091303461725108,6.256609633937396,2.707280532295588,0.9076375613886918,6.280840385719351,2.7233475118028228,0.95,2.803781824220435,,,,,
random_forest__per_dy__log1p__two_stage,type,__global__,28988.0,16192.0,3.0,1.9354495856364475,0.0214300637709758,0.0015438588321933,0.0071433545903252,0.0015438588321933,0.0015438588321933,28988.0,1.9353857068866216,0.0015436472048745,1.0,,,,,,,,,,,,,,,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Annuity,92.0,51.0,3.0,2.716930883830259,2.708153389791149,0.5943049753818087,0.9027177965970496,0.5943049753818087,0.5943049753818085,92.0,2.7169157050937156,0.5942940955652668,0.3695652173913043,1.634517935328574,0.8474038656866238,3.300321700817771,2.454933868074513,0.5666982644045898,0.7772680568959416,2.6465611331571064,2.6864395487301658,0.8473574877167778,3.299077984570426,2.454841378489691,0.847403865686624,3.300321700817771,2.454933868074513,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Bodily,2857.0,1698.0,3.0,2.8875569779459385,0.1938882446726927,0.034783587065952,0.0646294148908975,0.034783587065952,0.034783587065952,2857.0,2.8874704504346465,0.0347803671910095,1.0,2.8875569779459385,0.9895704680771792,3.300321700817771,2.867870642188308,0.957165794411489,0.7772680568959416,2.6465611331571064,2.8772341123842766,0.9895675330139226,3.299077984570426,2.8677794772732907,0.9895704680771792,3.300321700817771,2.867870642188308,,,2.0,,,,
