name,objective,method,structure,target,zero_handling,arm,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,rmse,mae
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy,687628959.3669102,363119152.06,324509807.3069102,89.36730697511925,363.74701494966547,80616.24663219818,5227.366756529129
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_bs1,616035471.1517301,363119152.06,252916319.09173006,69.65105466261373,321.7019011850191,80195.50319176777,4828.849361545322
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_bsmean,592750922.4827427,363119152.06,229631770.42274266,63.2386832586565,307.34391708472566,80085.14787315836,4698.377296698859
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_heur,440802224.6426569,363119152.06,77683072.58265692,21.39327329389141,215.70179450521448,79861.13853392478,3875.0576405756665
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_zcv,663579669.4224447,363119152.06,300460517.3624447,82.74433217248703,347.9221648253972,80502.24067095452,5099.670588358334
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_global,687628959.3669102,363119152.06,324509807.3069102,89.36730697511925,363.74701494966547,80616.24663219818,5227.366756529129
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_type,510309589.67879283,363119152.06,147190437.61879283,40.53502460109067,201.87012341468176,80159.9837129218,4150.3159042719435
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_type_bs1,464516528.41205305,363119152.06,101397376.35205305,27.923995684837532,191.17874728790886,79753.11027408288,3907.6004529661327
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,duan,738114551.0352315,363119152.06,374995398.97523147,103.27061980836227,393.953827195503,80636.88970975473,5458.917951323437
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,insample_global,640349777.0277102,363119152.06,277230624.9677102,76.34701265272342,334.0196212698176,80339.90961726921,4969.673138850871
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,iso_global,599882500.0041031,363119152.06,236763347.94410306,65.20266050439044,284.3835585161412,81464.46307839222,4729.126092321229
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,none,206643160.47759905,363119152.06,-156475991.58240095,-43.09218907752506,94.37170204955359,79881.60985594161,2805.707796528947
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,paper,381582675.79570305,363119152.06,18463523.73570305,5.084701159649169,155.7021025871376,79571.09242607273,3489.994616965959
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,shift_dy_bs1,615858659.8788248,363119152.06,252739507.81882483,69.60236230587567,321.4998331039666,80194.27424677704,4828.025136125811
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,shift_global,687441938.4899651,363119152.06,324322786.4299651,89.31580297818485,363.51920055834046,80613.81754480128,5226.472348514854
