name,level,group,n,n_eff,K_eff,alpha_cv,s2,v_cv,v_cv_fold,v_cv_delta,v_cv_delta_cl,n_clusters,alpha_shift,v_shift,Z_heur,factor_cv_heur,Z_bs1,a_bs1,factor_cv_bs1,Z_bsmean,a_bsmean,theta_bsmean,factor_cv_bsmean,Z_shift_bs1,a_shift_bs1,factor_shift_bs1,Z_bs1_cl,a_bs1_cl,factor_cv_bs1_cl,Z_zcv,factor_cv_zcv,dev_lag,duan_S,isotonic,has_record,n_estimators_cap
random_forest__per_dy__log1p__two_stage,dy,2,28988.0,16192.0,9.0,2.036674367771212,0.056402233800238,0.0017121565790324,0.0062669148666931,0.0017121565790324,0.0017121565790324,28988.0,2.0365998745824987,0.0017119100038086,1.0,2.036674367771212,0.9997250801090448,6.226125971411869,2.036389365367068,0.9981300778569414,0.9139177189151004,2.9331588261423236,2.0383507239108276,0.9997240381894285,6.201718920741466,2.036313812604271,0.9997250801090448,6.226125971411869,2.036389365367068,1.0,2.036674367771212,,,,,
random_forest__per_dy__log1p__two_stage,dy,3,25377.0,4799.0,8.0,2.393791253327109,0.3348020198967405,0.0078437054355762,0.0418502524870925,0.0078437054355762,0.0078437054355762,25377.0,2.3935085882716844,0.007840474476204,1.0,2.393791253327109,0.9987417799825516,6.226125971411869,2.392037557272028,0.9914905253915332,0.9139177189151004,2.9331588261423236,2.3983809879926103,0.9987373541378408,6.201718920741466,2.39174908041882,0.9987417799825516,6.226125971411869,2.392037557272028,1.0,2.393791253327109,,,,,
random_forest__per_dy__log1p__two_stage,dy,4,21277.0,1929.0,7.0,2.8178991268766507,0.1679749439898835,0.0314240943976557,0.0239964205699833,0.0314240943976557,0.0314240943976557,21277.0,2.8171237811101553,0.0313973918561506,1.0,2.8178991268766507,0.994978211270038,6.226125971411869,2.8087700215290936,0.9667590135598292,0.9139177189151004,2.9331588261423236,2.821730472977039,0.9949628098880984,6.201718920741466,2.8079705831678456,0.994978211270038,6.226125971411869,2.8087700215290936,1.0,2.8178991268766507,,,,,
random_forest__per_dy__log1p__two_stage,dy,5,17162.0,753.0,6.0,4.103571327799334,8.642362061732811,0.7044393698537676,1.4403936769554686,0.7044393698537676,0.7044393698537676,17162.0,4.1004613156007474,0.7030444277656673,0.11572153065929,1.359150024563224,0.898357589147969,6.226125971411869,3.788116855790571,0.5647194461948719,0.9139177189151004,2.9331588261423236,3.594113525897625,0.8981797938204976,6.201718920741466,3.784771705194708,0.898357589147969,6.226125971411869,3.788116855790571,1.0,4.103571327799334,,,,,
random_forest__per_dy__log1p__two_stage,dy,6,12899.0,236.0,5.0,5.7320217708523105,8.91254599036138,3.843466471465773,1.782509198072276,3.843466471465773,3.843466471465771,12899.0,5.724019355684065,3.830651939366985,0.1122206371849738,1.5310304982982146,0.6183096293848209,6.226125971411869,3.925854627376596,0.1921050901802262,0.9139177189151004,2.9331588261423236,3.4708346445379292,0.6181708199605397,6.201718920741466,3.9202509186126786,0.618309629384821,6.226125971411869,3.9258546273765966,1.0,5.7320217708523105,,,,,
random_forest__per_dy__log1p__two_stage,dy,7,9190.0,82.0,4.0,3.891476531328309,48.00084497603541,1.5011410385032256,12.000211244008852,1.5011410385032256,1.5011410385032256,9190.0,3.886836526618185,1.4959579550011093,0.0208333333333333,1.0602390944026732,0.8057345453991606,6.226125971411869,3.3297625285021564,0.3784246309154273,0.9139177189151004,2.9331588261423236,3.295809850027049,0.8056611131969867,6.201718920741466,3.3258119296529296,0.8057345453991606,6.226125971411869,3.3297625285021564,1.0,3.891476531328309,,,,,
random_forest__per_dy__log1p__two_stage,dy,8,5691.0,20.0,3.0,2.898717709705718,3.454322880808398,0.6391469009566435,1.151440960269466,0.6391469009566435,0.6391469009566436,5691.0,2.877927119563582,0.6253624180110046,0.2898550724637681,1.550352959334991,0.906901457110453,6.226125971411869,2.7219498575735384,0.5884608452355151,0.9139177189151004,2.9331588261423236,2.912891577653184,0.9083997411219832,6.201718920741466,2.705908509257509,0.906901457110453,6.226125971411869,2.7219498575735384,1.0,2.898717709705718,,,,,
random_forest__per_dy__log1p__two_stage,type,__global__,28988.0,16192.0,9.0,2.036674367771212,0.056402233800238,0.0017121565790324,0.0062669148666931,0.0017121565790324,0.0017121565790324,28988.0,2.0365998745824987,0.0017119100038086,1.0,,,,,,,,,,,,,,,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Annuity,92.0,51.0,9.0,3.287824522141329,5.9370444668193265,0.8632659945608443,0.6596716074243696,0.8632659945608443,0.8632659945608444,92.0,3.2878000464620323,0.8632469966395862,0.1688741721854304,1.386354472282145,0.8159020667225928,3.825901228517296,2.8666407559137386,0.4551416357505877,0.721120060978681,2.790462182414053,3.0168324912782647,0.8158609634819147,3.824770345923198,2.866526750160483,0.8159020667225928,3.825901228517296,2.8666407559137386,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Bodily,2857.0,1698.0,9.0,3.424408571629251,1.226973410374521,0.0487729152653091,0.1363303789305023,0.0487729152653091,0.0487729152653091,2857.0,3.4242767728872843,0.0487675549631248,0.815170427268363,2.9763061712080985,0.98741238270486,3.825901228517296,3.393891044362525,0.9366497464319608,0.721120060978681,2.790462182414053,3.3842479071239255,0.987410074146437,3.824770345923198,3.393755308068118,0.98741238270486,3.825901228517296,3.393891044362525,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Lost,22.0,18.0,6.0,2.109797562410884,1.1011215262238303,0.311733564616441,0.1835202543706383,0.311733564616441,0.3117335646164411,22.0,2.109735543373065,0.3116975509370711,0.36,1.3995271224679182,0.924658994763445,3.825901228517296,2.0261842984497695,0.6981822429709509,0.721120060978681,2.790462182414053,2.31523423130927,0.9246464474742664,3.824770345923198,2.0261130278158292,0.924658994763445,3.825901228517296,2.0261842984497695,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Material,22070.0,12754.0,9.0,1.6865632663787409,0.051222932252012,0.0005615130315762,0.0056914369168902,0.0005615130315762,0.0005615130315762,22070.0,1.6865169404175293,0.0005614369493596,1.0,1.6865632663787409,0.999853255324956,3.825901228517296,1.6864625168753191,0.999221937968492,0.721120060978681,2.790462182414053,1.6874221682119306,0.9998532318289688,3.824770345923198,1.6864161815818024,0.999853255324956,3.825901228517296,1.6864625168753191,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Remaining,39.0,27.0,9.0,2.103020238253493,3.8767744154966026,0.2260737488420975,0.4307527128329558,0.2260737488420975,0.2260737488420975,39.0,2.102965815121879,0.2260507933227874,0.2596153846153846,1.2863610233927338,0.9442065288889258,3.825901228517296,2.0414789104555666,0.761322607371269,0.721120060978681,2.790462182414053,2.267097089069361,0.9441963035265328,3.824770345923198,2.0414162455542075,0.9442065288889258,3.825901228517296,2.0414789104555666,,,2.0,,,,
