name,objective,method,structure,target,zero_handling,arm,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,rmse,mae
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy,660934154.1309594,363119152.06,297815002.0709594,82.01577922327543,333.6000071391639,80441.57838576418,5060.603707109873
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_bs1,592147717.4014018,363119152.06,229028565.34140176,63.07256558683476,297.13402921524766,80032.39862927386,4682.030885752095
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_bsmean,577335816.1067308,363119152.06,214216664.04673082,58.99349093306285,288.8052029945247,79962.83743001007,4599.714732843389
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_heur,427663632.4958631,363119152.06,64544480.43586308,17.775014088267664,203.225284484933,79803.85747906359,3793.1092275506862
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_zcv,637957968.0721762,363119152.06,274838816.0121762,75.68832832225914,319.00450099327475,80332.18963607673,4939.602340639411
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_global,660934154.1309594,363119152.06,297815002.0709594,82.01577922327543,333.6000071391639,80441.57838576418,5060.603707109873
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_type,508861058.6946391,363119152.06,145741906.63463908,40.136111193208954,192.59929667422725,80585.32082306933,4122.945438593569
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_type_bs1,458934535.72627115,363119152.06,95815383.66627115,26.386761238756996,182.35594496173556,79815.25672939859,3863.621967301741
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,duan,693556501.9316325,363119152.06,330437349.8716325,90.99970298923607,354.13215049811436,80374.69399351822,5197.002706628804
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,insample_global,612460315.9642774,363119152.06,249341163.90427738,68.66648660357015,305.4187144288626,80154.96019858183,4800.028141809627
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,iso_global,565451981.7761679,363119152.06,202332829.71616787,55.720781613506134,253.75654460781374,80918.47166148279,4523.836725869918
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,none,201410432.95529187,363119152.06,-161708719.10470814,-44.53323879705144,94.37170204955359,79836.90210405424,2771.973633792146
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,paper,377290749.3006822,363119152.06,14171597.240682185,3.9027402328645393,150.55250082175934,79568.0429845594,3454.519973259357
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,shift_dy_bs1,591998504.148169,363119152.06,228879352.08816904,63.03147349560625,296.9608405422938,80031.39090141121,4681.378491593427
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,shift_global,660764544.3365852,363119152.06,297645392.27658516,81.96907009394087,333.39758092995464,80439.05994770373,5059.828217794447
