name,objective,method,structure,target,zero_handling,rmse,mae,r2,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,runtime_seconds
random_forest__single_model__log1p__include_zeros,mse_log1p,random_forest,single_model,log1p,include_zeros,80336.4435848462,3818.897941082585,0.003987890761547708,370181141.7930026,363119152.06,7061989.733002603,1.944813346511592,209.3828214874884,
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,79588.17396412528,3463.36419682352,0.022455592365192123,378655813.8508625,363119152.06,15536661.7908625,4.278667677736618,150.76489408840658,
random_forest_poisson__multi_step__raw__two_stage,poisson_rf,random_forest,multi_step,raw,two_stage,78492.01346744383,3348.068655465827,0.04919741497142294,392557761.129012,363119152.06,29438609.069011986,8.107148549451255,950.2211767326232,
hgb_gamma__per_dy__raw__two_stage,gamma_hgb,hgb,per_dy,raw,two_stage,79702.91652079401,3716.799224269952,0.019634901953003325,405764903.9770922,363119152.06,42645751.917092204,11.744286049127377,156.1211578998333,
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,79867.90522450465,3887.3539066229514,0.015571899295989566,433459840.2649541,363119152.06,70340688.20495409,19.371241589959247,160.32576884860634,
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,80492.1201888678,3111.286104163024,0.00012399014623754034,283337582.4044595,363119152.06,-79781569.65554053,-21.971181966837655,100.11405957033526,
random_forest__multi_step__log1p__two_stage,mse_log1p,random_forest,multi_step,log1p,two_stage,78822.20416121284,2740.584175260903,0.04118114715924204,275863645.7804385,363119152.06,-87255506.27956152,-24.02944206730904,279.31413474020104,
lightgbm_poisson__per_dy__raw__two_stage,poisson_lgbm,lightgbm,per_dy,raw,two_stage,80927.14919190519,4296.611183899773,-0.01071310792759328,510936180.2545922,363119152.06,147817028.19459218,40.707582443948766,197.6477730229727,
chain_ladder_rbns_cohort,,chain_ladder,aggregate,RBNS cohort,N/A,,,,515473386.944654,363119152.0600001,152354234.88465387,41.95709150022458,,0.0
hgb_poisson__per_dy__raw__two_stage,poisson_hgb,hgb,per_dy,raw,two_stage,79954.45261627036,4342.780442994389,0.013437228384175715,522895830.1312275,363119152.06,159776678.0712275,44.00117073550193,228.45932946899623,
chain_ladder_total,,chain_ladder,aggregate,total (RBNS+IBNR),N/A,,,,675019869.311335,438561053.15,236458816.161335,53.916966511948694,,0.0
random_forest__per_dy__raw__two_stage,mse_raw,random_forest,per_dy,raw,two_stage,79969.79454785693,4489.698576901068,0.013058582037288602,560292336.094337,363119152.06,197173184.03433698,54.29985802614924,211.9795070483932,
random_forest_poisson__per_dy__raw__two_stage,poisson_rf,random_forest,per_dy,raw,two_stage,79799.3431821716,4490.340478634623,0.017261324625910457,560367953.462356,363119152.06,197248801.40235597,54.32068242155499,215.6332585096515,
random_forest__per_dy__raw__include_zeros,mse_raw,random_forest,per_dy,raw,include_zeros,80111.82774066189,4685.807421028586,0.009549684060341845,590444533.1567895,363119152.06,227325381.09678954,62.60352278505745,230.97639346217642,
random_forest_poisson__per_dy__raw__include_zeros,poisson_rf,random_forest,per_dy,raw,include_zeros,79866.59068937515,4742.642939399998,0.015604304169205552,605639977.2302399,363119152.06,242520825.17023987,66.7882219360787,247.79922793927608,
