name,level,group,n,n_eff,K_eff,alpha_cv,s2,v_cv,v_cv_fold,v_cv_delta,v_cv_delta_cl,n_clusters,alpha_shift,v_shift,Z_heur,factor_cv_heur,Z_bs1,a_bs1,factor_cv_bs1,Z_bsmean,a_bsmean,theta_bsmean,factor_cv_bsmean,Z_shift_bs1,a_shift_bs1,factor_shift_bs1,Z_bs1_cl,a_bs1_cl,factor_cv_bs1_cl,Z_zcv,factor_cv_zcv,dev_lag,duan_S,isotonic,has_record,n_estimators_cap
random_forest__multi_step__log1p__two_stage,dy,1,116452.0,18949.0,3.0,2.225145092352053,0.012122703057043445,0.0032701960096962793,0.004040901019014481,0.0032701960096962793,0.004459787620629201,28974.0,2.2248740566372036,0.0032687480730183046,1.0,2.225145092352053,0.9993318923350462,4.89144390657758,2.224326563525172,0.9950360411804766,0.655517704654288,2.818111984262865,2.228088555584839,0.9993290417504714,4.868492013963612,2.224052217284269,0.9990979777218231,4.939750270741612,2.2240399841847527,0.9500000000000001,2.1638878377344506,,,,,
random_forest__multi_step__log1p__two_stage,dy,2,87478.0,5183.0,3.0,2.791714100122385,0.13864148377673358,0.02771345511789513,0.046213827925577856,0.02771345511789513,0.03349217732590199,24485.0,2.7906498469349583,0.0276802882439991,1.0,2.791714100122385,0.9943662190330209,4.89144390657758,2.7816199753268473,0.9594376592438555,0.655517704654288,2.818111984262865,2.792784860094132,0.9943465453142818,4.868492013963612,2.7805264891673236,0.9932655249214893,4.939750270741612,2.779647846167294,0.9500000000000001,2.702128395116266,,,,,
random_forest__multi_step__log1p__two_stage,dy,3,62993.0,2020.0,3.0,3.1891552875729476,0.5772962886803273,0.11677231576176411,0.1924320962267758,0.11677231576176411,0.12155207714548934,20226.0,3.186716133295328,0.11650731831411912,1.0,3.1891552875729476,0.9766838509805353,4.89144390657758,3.138112616661148,0.8487973265550475,0.655517704654288,2.818111984262865,3.133052548148617,0.9766284184714453,4.868492013963612,3.1356091189062107,0.9759840316205901,4.939750270741612,3.136580603408978,0.9500000000000001,3.0796975231943002,,,,,
random_forest__multi_step__log1p__two_stage,dy,4,42767.0,608.0,3.0,4.4505888775802935,6.048095739813061,0.8567901872496669,2.01603191327102,0.8567901872496669,0.8295797777352725,16048.0,4.442395446842376,0.852706809810278,0.165352189284743,1.5705624252294856,0.8509472347047013,4.89144390657758,3.93626906347975,0.4334551900202074,0.655517704654288,2.818111984262865,3.525717566259369,0.8509566200938626,4.868492013963612,3.92932919447149,0.8562086462787333,4.939750270741612,3.954424031737477,0.9500000000000001,4.278059433701279,,,,,
random_forest__multi_step__log1p__two_stage,dy,5,26719.0,188.0,3.0,4.041193017773086,8.68855846125944,1.2290591002710103,2.896186153753147,1.2290591002710103,1.0988744520039886,11781.0,4.033015318283051,1.2223810342569756,0.11512553582363748,1.3501189757142316,0.7991898543476338,4.89144390657758,3.4304906049171136,0.34783284127296243,0.655517704654288,2.818111984262865,3.2435397352557964,0.7993093888873473,4.868492013963612,3.4243176205427885,0.8180257090882177,4.939750270741612,3.487774074837965,0.9500000000000001,3.889133366884432,,,,,
random_forest__multi_step__log1p__two_stage,dy,6,14938.0,59.0,3.0,3.746686850505444,9.352979957390616,1.7153726928311928,3.117659985796872,1.7153726928311928,1.511517396365369,7929.0,3.734598600854287,1.6998375847419618,0.10707803992740472,1.2941098442464996,0.740363204120923,4.89144390657758,3.033545877357017,0.2764858743995577,0.655517704654288,2.818111984262865,3.074849818101397,0.7412070208722549,4.868492013963612,3.0269036822206425,0.7657022659171114,4.939750270741612,3.103144345196753,0.9500000000000001,3.6093525079801716,,,,,
random_forest__multi_step__log1p__two_stage,dy,7,7009.0,18.0,3.0,1.416625730883971,8.32154907609726,0.1878197215227168,2.7738496920324196,0.1878197215227168,0.1991774514190688,4427.0,1.4118538157077154,0.18356630206748856,0.12080536912751678,1.0503306252074596,0.9630222537606375,4.89144390657758,1.4012198503305546,0.7772899486103253,0.655517704654288,2.818111984262865,1.7287508063959072,0.9636650468809913,4.868492013963612,1.3968891266220906,0.9612414374772867,4.939750270741612,1.4004779164449335,0.9500000000000001,1.3957944443397725,,,,,
random_forest__multi_step__log1p__two_stage,type,__global__,116452.0,18949.0,3.0,2.225145092352053,0.012122703057043445,0.0032701960096962793,0.004040901019014481,0.0032701960096962793,0.004459787620629201,28974.0,2.2248740566372036,0.0032687480730183046,1.0,,,,,,,,,,,,,,,,,1.0,,,,
random_forest__multi_step__log1p__two_stage,type,Annuity,399.0,301.0,3.0,2.9702742743932293,0.5369621555270327,0.15991218938591129,0.17898738517567758,0.15991218938591129,0.21107736985413172,98.0,2.970260970895866,0.1599099899390036,1.0,2.9702742743932293,0.965203217914274,4.435690616412313,2.9017150698180565,0.8831421387702687,1.2085211167101098,2.8839404570105156,2.9601854891420873,0.9651675612086997,4.430925320132437,2.901631976224248,0.9543723333030462,4.41500555601732,2.8803752564996326,,,1.0,,,,
random_forest__multi_step__log1p__two_stage,type,Bodily,12295.0,3422.0,3.0,3.2951168278442133,0.061128839154457326,0.02295603626290395,0.02037627971815244,0.02295603626290395,0.029636409932489005,3064.0,3.2948398574818674,0.022950427058188238,1.0,3.2951168278442133,0.9948513443537559,4.435690616412313,3.283300061629743,0.9813589426263541,1.2085211167101098,2.8839404570105156,3.287452065524815,0.9948470886120554,4.430925320132437,3.28301475104674,0.993332104102078,4.41500555601732,3.279813227762579,,,1.0,,,,
random_forest__multi_step__log1p__two_stage,type,Lost,153.0,18.0,3.0,2.1281202540516753,1.931294162957427,0.6438973143914865,0.643764720985809,0.6438973143914865,0.5776576465918937,22.0,2.1277707215620354,0.6434761900973635,0.36,1.406123291458603,0.8732382777573859,4.435690616412313,1.9851177877513098,0.652401798869722,1.2085211167101098,2.8839404570105156,2.39084199697809,0.8731917076722959,4.430925320132437,1.984760042223571,0.8842986952754986,4.41500555601732,1.9975952687717604,,,1.0,,,,
random_forest__multi_step__log1p__two_stage,type,Material,89276.0,12789.0,3.0,1.653406424197968,0.013292043486868004,0.000529425365885219,0.004430681162289334,0.000529425365885219,0.0005190788081718787,21907.0,1.6532384629434822,0.0005291520526999721,1.0,1.653406424197968,0.9998806584522636,4.435690616412313,1.6533284456640032,0.9995621147772895,1.2085211167101098,2.8839404570105156,1.653945256866979,0.9998805917885378,4.430925320132437,1.653160460906964,0.9998824423254083,4.41500555601732,1.653329611258176,,,1.0,,,,
random_forest__multi_step__log1p__two_stage,type,Remaining,143.0,28.0,3.0,2.1613809707713116,0.8186421890949953,0.26975804796915187,0.27288072969833177,0.26975804796915187,0.18429464690176758,40.0,2.161201471965101,0.26967441187701824,0.56,1.6503733436319346,0.9426711314457382,4.435690616412313,2.094800313756542,0.8175188730149757,1.2085211167101098,2.8839404570105156,2.2932344401339617,0.9426297861439619,4.430925320132437,2.0945830951885167,0.9599298504618596,4.41500555601732,2.1148442616017546,,,1.0,,,,
random_forest__multi_step__log1p__two_stage,type,Technical,14186.0,2391.0,3.0,4.958777886828669,0.26948693980342614,0.1586686372383919,0.08982897993447538,0.1586686372383919,0.37664686089523775,3843.0,4.955413584253722,0.15839894397813148,1.0,4.958777886828669,0.9654644688239578,4.435690616412313,4.822059389699071,0.8839454166620616,1.2085211167101098,2.8839404570105156,4.717983493417164,0.9654853449304416,4.430925320132437,4.818893848735759,0.9213952039664167,4.41500555601732,4.6475989584922415,,,1.0,,,,
random_forest__multi_step__log1p__two_stage,arms,1,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.492946474873096,True,True,100.0
random_forest__multi_step__log1p__two_stage,type,__global__,87478.0,5183.0,3.0,2.791714100122385,0.13864148377673358,0.02771345511789513,0.046213827925577856,0.02771345511789513,0.03349217732590199,24485.0,2.7906498469349583,0.0276802882439991,1.0,,,,,,,,,,,,,,,,,2.0,,,,
random_forest__multi_step__log1p__two_stage,type,Annuity,301.0,229.0,3.0,3.187621823620348,1.3510938018615721,0.2775116021356383,0.450364600620524,0.2775116021356383,0.3105397243525194,82.0,3.1876055612509067,0.2775073791844453,0.7411003236245954,2.6212472414532675,0.9732485779351164,10.096202418096809,3.1290998288983296,0.9257383736156644,3.4594332460608896,3.570309571978962,3.216040838210818,0.9731663368532055,10.064255415791843,3.1289040905222456,0.9685414326890623,9.56084829160934,3.118802375231111,,,2.0,,,,
random_forest__multi_step__log1p__two_stage,type,Bodily,9231.0,1552.0,3.0,3.78059854751967,0.647111740825374,0.07080435969311444,0.215703913608458,0.07080435969311444,0.09121248249112633,2591.0,3.7799150090303875,0.0707692966886321,1.0,3.78059854751967,0.9930358697263988,10.096202418096809,3.761234096996157,0.9799434577497819,3.4594332460608896,3.570309571978962,3.7763808777969827,0.9930173533172065,10.064255415791843,3.7605038447141337,0.9905499473505307,9.56084829160934,3.7543217448485713,,,2.0,,,,
random_forest__multi_step__log1p__two_stage,type,Material,67369.0,2459.0,3.0,1.6979433742763281,0.04893767446434867,0.004646868921389343,0.01631255815478289,0.004646868921389343,0.004233543220858149,18645.0,1.6972113066413146,0.004637079524371702,1.0,1.6979433742763281,0.9995399526525595,10.096202418096809,1.6976222872783286,0.9986585561629214,3.4594332460608896,3.570309571978962,1.7004550483729906,0.9995394647895457,10.064255415791843,1.6968902162854795,0.9995573960271368,9.56084829160934,1.69763446176604,,,2.0,,,,
random_forest__multi_step__log1p__two_stage,type,Technical,10343.0,934.0,3.0,6.396099511911758,21.64702124073607,1.3846599186616781,7.215673746912024,1.3846599186616781,3.4730535052971936,3112.0,6.3841231958023315,1.3784963241686898,0.046196458601246417,1.2492806877102376,0.8793940839941625,10.096202418096809,5.745297987418987,0.7141549777065486,3.4594332460608896,3.570309571978962,5.588361523535057,0.879531046771321,10.064255415791843,5.7355035103497745,0.7335369285871489,9.56084829160934,4.958238262318364,,,2.0,,,,
random_forest__multi_step__log1p__two_stage,arms,2,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.8559854482362477,True,True,100.0
random_forest__multi_step__log1p__two_stage,type,__global__,62993.0,2020.0,3.0,3.1891552875729476,0.5772962886803273,0.11677231576176411,0.1924320962267758,0.11677231576176411,0.12155207714548934,20226.0,3.186716133295328,0.11650731831411912,1.0,,,,,,,,,,,,,,,,,3.0,,,,
random_forest__multi_step__log1p__two_stage,type,Annuity,219.0,161.0,3.0,3.621010295239447,5.244969909997014,0.5842630971910447,1.748323303332338,0.5842630971910447,0.5532156744615817,68.0,3.620985383588172,0.5842515563993381,0.19075829383886256,1.4999794520539704,0.9519053357898292,11.563926453272385,3.4949536851985052,0.8641151744268714,3.7154303728249563,3.654644690690687,3.6255806991985966,0.9516795506787921,11.506934775821055,3.494338192188873,0.948995207171973,10.293131184094653,3.4873262081306335,,,3.0,,,,
random_forest__multi_step__log1p__two_stage,type,Bodily,6640.0,622.0,3.0,4.177288902009627,0.9750130840251622,0.30496481263586106,0.3250043613417207,0.30496481263586106,0.3678317037638125,2147.0,4.175632927584994,0.3046449186846092,1.0,4.177288902009627,0.974305534880766,11.563926453272385,4.095650163143212,0.9241455631678392,3.7154303728249563,3.654644690690687,4.13764401969644,0.9742079445286799,11.506934775821055,4.093726826960172,0.9654973281838616,10.293131184094653,4.06766394575853,,,3.0,,,,
