name,objective,method,structure,target,zero_handling,arm,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,rmse,mae
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy,690868766.6617429,363119152.06,327749614.6017429,90.25952300846616,352.7575902543255,80473.23417100914,5270.685455437175
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_bs1,599034520.4354272,363119152.06,235915368.3754272,64.9691339707815,298.4621731551378,79956.83414912091,4755.639081397893
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_bsmean,582338936.0387467,363119152.06,219219783.9787467,60.37130862833804,288.1907011982183,79880.83588058376,4661.133733203845
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_heur,417198448.3369236,363119152.06,54079296.2769236,14.892989248880987,189.73883134376553,79653.6717376957,3759.64408903343
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_zcv,641795976.0005468,363119152.06,278676823.9405468,76.74528384404788,321.35372159050866,80252.91010153045,5010.999900656378
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_global,690868766.6617429,363119152.06,327749614.6017429,90.25952300846616,352.7575902543255,80473.23417100914,5270.685455437175
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_type,490534653.5150058,363119152.06,127415501.45500582,35.08917134559521,171.49000737896628,80622.0984607659,4055.5471323961538
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_type_bs1,437313853.46518975,363119152.06,74194701.40518975,20.43260483074993,162.12945350440495,79508.52999126186,3780.134673918887
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,duan,716922567.212218,363119152.06,353803415.15221804,97.43452339130747,366.245935798436,80345.58000785057,5360.388496734017
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,insample_global,640841512.0528034,363119152.06,277722359.9928034,76.48243239643662,322.9058764397382,80171.06664947458,4991.332986691751
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,iso_global,532081311.6283212,363119152.06,168962159.56832117,46.53077608542187,214.47109977872785,80045.93499784518,4346.402860032942
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,none,200140860.04978055,363119152.06,-162978292.01021945,-44.88286863571705,94.46825946610188,79804.57094820922,2789.121762620588
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,paper,361260100.1096189,363119152.06,-1859051.9503811002,-0.5119674739915453,133.8628098208836,79376.26359983467,3396.636256958857
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,shift_dy_bs1,598816891.3470113,363119152.06,235697739.28701133,64.90920072650583,298.2364451737276,79955.62752924705,4754.581914997884
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,shift_global,690597122.6071492,363119152.06,327477970.54714924,90.18471449091686,352.4748887889455,80470.21174863116,5269.335416124166
