scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-A,chain_ladder_rbns_cohort,none,30,2.286396129633521,9.436158681336781,9.555137966856284,1.4628131052042326,8.002911451825613
S-A,chain_ladder_total,none,30,2.087012326217674,8.388549788869218,8.507514076280513,,
S-A,random_forest__per_dy__log1p__two_stage,cv_dy,30,-32.21883050629372,5.403258229835752,32.65386754084363,-32.73392967075683,33.07350951483887
S-A,random_forest__per_dy__log1p__two_stage,cv_dy_bs1,30,-34.166927880871214,4.968835646434665,34.514421781460555,-34.65577460335232,34.93932080093447
S-A,random_forest__per_dy__log1p__two_stage,cv_dy_bsmean,30,-32.286747276453035,5.040638117654565,32.66489167141985,-32.784016703954485,33.10064596590381
S-A,random_forest__per_dy__log1p__two_stage,cv_dy_heur,30,-33.76759559303852,5.120894649881528,34.14088392845651,-34.25330591625668,34.57100149106437
S-A,random_forest__per_dy__log1p__two_stage,cv_dy_zcv,30,-32.66102776239884,5.3621619329268295,33.08378891649634,-33.171266291449186,33.50456117538879
S-A,random_forest__per_dy__log1p__two_stage,cv_global,30,-32.21883050629372,5.403258229835752,32.65386754084363,-32.73392967075683,33.07350951483887
S-A,random_forest__per_dy__log1p__two_stage,cv_type,30,-32.40799992564477,5.471584654553736,32.85146505903212,-32.92198464410791,33.27019612629025
S-A,random_forest__per_dy__log1p__two_stage,cv_type_bs1,30,-35.96217228317307,4.916279844802359,36.28556162699728,-36.4413307255027,36.70077389900388
S-A,random_forest__per_dy__log1p__two_stage,duan,30,-26.752889631658693,6.4081477438545305,27.484771223968316,-27.331857557408387,27.86118567549051
S-A,random_forest__per_dy__log1p__two_stage,insample_global,30,-34.70923766275289,5.1875455385825155,35.081972391631126,-35.211743430915774,35.488883825309195
S-A,random_forest__per_dy__log1p__two_stage,iso_global,30,-28.986142702884376,5.685348235791862,29.520200098725475,-29.516289965887875,29.951445838950615
S-A,random_forest__per_dy__log1p__two_stage,none,30,-61.093091135192026,2.9915918203046146,61.163854402347376,-61.38594223057258,61.44177145757579
S-A,random_forest__per_dy__log1p__two_stage,paper,30,-34.04461459272822,5.1618731182324895,34.42081568450274,-34.52827701873766,34.84995198684203
S-A,random_forest__per_dy__log1p__two_stage,shift_dy_bs1,30,-34.14577568710958,4.968906275703607,34.493492514751814,-34.634786530685055,34.918462732126685
S-A,random_forest__per_dy__log1p__two_stage,shift_global,30,-32.196786929036016,5.4036517724804005,32.63218083348656,-32.71207753072544,33.05183819220176
S-A,random_forest__single_model__log1p__two_stage,cv_dy,30,-18.113731487584015,8.63968873485239,20.006582644842755,-18.811402347692578,20.114935427520507
S-A,random_forest__single_model__log1p__two_stage,cv_dy_bs1,30,-20.919088045709355,8.106054610124934,22.38584586954571,-21.576930996988832,22.617016292228993
S-A,random_forest__single_model__log1p__two_stage,cv_dy_bsmean,30,-15.497275366326097,9.28033336878964,17.98386253379436,-16.211773104402535,17.993578591547315
S-A,random_forest__single_model__log1p__two_stage,cv_dy_heur,30,-19.515129026698897,8.13182474358942,21.08939580611886,-20.174807416767475,21.322325470702864
S-A,random_forest__single_model__log1p__two_stage,cv_dy_zcv,30,-18.330342679987332,8.684327642595573,20.221401809706048,-19.028438095163086,20.33081478137405
S-A,random_forest__single_model__log1p__two_stage,cv_global,30,-12.16661721344727,8.650330221393743,14.844544910271608,-12.880005900085791,14.82897487082631
S-A,random_forest__single_model__log1p__two_stage,cv_type,30,-12.661882515119533,8.38545945437194,15.109445216339843,-13.366903731205664,15.143605106199741
S-A,random_forest__single_model__log1p__two_stage,cv_type_bs1,30,-12.830706082360303,8.368991028005317,15.242452636343998,-13.534415066467576,15.284522773143866
S-A,random_forest__single_model__log1p__two_stage,duan,30,-11.436986888217286,8.938842403532313,14.423735385789236,-12.171875931831055,14.270435532087669
S-A,random_forest__single_model__log1p__two_stage,insample_global,30,-12.373946177030756,8.598032286201368,14.985876613669614,-13.082894069203594,14.99770483365885
S-A,random_forest__single_model__log1p__two_stage,iso_global,30,-12.440023060070258,8.187828152187334,14.817557803379954,-13.150154678199575,14.823927355906783
S-A,random_forest__single_model__log1p__two_stage,none,30,-52.2737983994954,4.8306911862448985,52.48912005235043,-52.66873404613491,52.823613257928336
S-A,random_forest__single_model__log1p__two_stage,paper,30,-12.661882515119533,8.38545945437194,15.109445216339843,-13.366903731205664,15.143605106199741
S-A,random_forest__single_model__log1p__two_stage,shift_dy_bs1,30,-20.901217556259855,8.104667284451487,22.368661248855318,-21.55917356865537,22.59955932637941
