scenario,seed,dy,n,n_fresh,alpha_hat,v_hat,half_width,alpha_cond,alpha_pop,cover_cond,cover_pop,rel_bias_pop
S-A,0,2,17840,17898,1.8352702033530601,0.0030581476358098048,0.10838702971558202,1.784121969143267,1.7723289376970988,1.0,1.0,0.035513309249323166
S-A,0,3,15984,16013,1.8307002581501726,0.006837267176492662,0.16206504960842158,1.863421757175998,1.8192025517178303,1.0,1.0,0.006320190361147615
S-A,0,4,14014,14007,1.8859210881369612,0.010382992781072808,0.19971439408328975,1.796954192915597,1.804153989895812,1.0,1.0,0.04532157382301438
S-A,0,5,12021,12009,1.86584024173511,0.026899375243688028,0.32145426160035045,1.7899902270816703,1.7957466543075757,1.0,1.0,0.039033115979582256
S-A,0,6,10025,10013,1.7770842554796475,0.016614347014928307,0.2526327965458354,1.6296435262093594,1.6041091324024281,1.0,1.0,0.10783251562077911
S-A,0,7,7993,8007,1.8548683621409836,0.03271354653555696,0.3544964624579532,1.724931718396371,1.725979382605312,1.0,1.0,0.07467585119187103
S-A,0,8,6007,5989,1.70212824002141,0.040094250922516596,0.3924543462180346,1.9040724761727255,1.7894933400983588,1.0,1.0,-0.04882113731261328
S-A,0,9,3980,4001,1.671355365682562,0.06855373387325353,0.5131728224282025,1.472864694253423,1.4250416927131782,1.0,1.0,0.17284664317464293
S-A,1,2,17794,17920,1.8978867591870303,0.004404091597223332,0.1300697371155122,1.8240185794660002,1.8546042160334397,1.0,1.0,0.023337886746618963
S-A,1,3,15939,16116,1.7867259553507882,0.005359417941588897,0.14348513276818273,1.7301338057563398,1.7229151213832257,1.0,1.0,0.03703655111943793
S-A,1,4,14035,14158,1.707777533702988,0.006570904910553575,0.15887687254156402,1.7193623207017237,1.7959751567891091,1.0,1.0,-0.049108487248678445
S-A,1,5,12088,12132,1.7821035146438378,0.01847649943037107,0.26641454861240016,1.6562701852175332,1.5864123492588076,1.0,1.0,0.12335453986881761
S-A,1,6,10050,10150,1.745637131425743,0.02570985064390766,0.31426634012373583,1.7660671844435027,1.7450720757871687,1.0,1.0,0.0003238007452037728
S-A,1,7,8070,8102,1.9047228745861948,0.04097377418460665,0.3967355117185585,1.6985637086664043,1.5972607412702426,1.0,1.0,0.1924933890702396
S-A,1,8,6013,6105,2.0371157948895897,0.09238096256356092,0.5957160930376187,1.9785124631153888,1.8555540971532334,1.0,1.0,0.09784769843946117
S-A,1,9,4025,4103,1.6671022307700325,0.115625269586667,0.6664605852928125,1.4832732369745367,1.3554637250997978,1.0,1.0,0.22991283344546143
S-A,2,2,17850,17901,1.8973615053841608,0.0029353427983587026,0.10618850448384709,1.9701292909246264,1.9452327011501518,1.0,1.0,-0.024609495685367744
S-A,2,3,15888,16038,1.748286492129546,0.005001865194875114,0.13861622983177674,1.681389639535377,1.6618928441715335,1.0,1.0,0.051985089328115075
S-A,2,4,13910,14113,1.7870333888647005,0.012576639382758588,0.21980137008578246,1.709481845392122,1.6974433177571253,1.0,1.0,0.05277941841731293
S-A,2,5,11931,12101,1.711556393827592,0.01226213855314187,0.21703571205112845,1.7591527212703237,1.8667684257818182,1.0,1.0,-0.08314477029427048
S-A,2,6,9935,10107,1.68154921510335,0.012855871624639137,0.22222803929788276,1.6931196191526636,1.8119114673663599,1.0,1.0,-0.07194736310847094
S-A,2,7,8026,8033,1.7151529431057517,0.025837025524336393,0.31504264727328785,1.816100364184195,1.834724916631171,1.0,1.0,-0.06517160825665969
S-A,2,8,6015,5976,1.726680423818922,0.06529340128487303,0.500821237867262,1.9641133220469413,2.158886372580709,1.0,1.0,-0.2001985626715188
S-A,2,9,3971,3948,2.0569468746391006,0.19280600603396894,0.8606139277062594,1.7461471971268716,1.8082317021747787,1.0,1.0,0.13754607452418277
S-A,3,2,17578,17854,1.9132162079303727,0.004558284310889999,0.1323271002980872,1.849383806038095,1.8354692843377884,1.0,1.0,0.0423580630065592
S-A,3,3,15740,15954,1.789719144056607,0.006408518469141236,0.15690143339327342,1.8959981268131587,1.8622032129148214,1.0,1.0,-0.03892382332686373
S-A,3,4,13848,13962,1.7414767200253765,0.009065560023864416,0.18661451047066518,1.857829767059924,1.8444163345957914,1.0,1.0,-0.05581148498827104
S-A,3,5,11832,11929,1.8687260737166147,0.024043229043582207,0.3039096482302562,1.7502330815891398,1.6110485957429954,1.0,1.0,0.15994395119706595
S-A,3,6,9913,9945,1.879127045978951,0.045870763107940124,0.4197745198948684,1.752960160034173,1.7130193101104867,1.0,1.0,0.09696781284838574
S-A,3,7,7925,7971,1.519071028361957,0.020582083283775456,0.28118539325277964,1.8316912293695158,1.8975159347103543,0.0,0.0,-0.19944228105054873
S-A,3,8,5928,6006,1.693130093775528,0.04682348388856731,0.42411140658954943,1.6100204681632506,1.5997410018330158,1.0,1.0,0.05837763227641535
S-A,3,9,3915,3936,3.1285715171798425,2.154729744068737,2.8770306883251777,1.9250497415585148,1.711728355721025,1.0,1.0,0.827726640575517
S-A,4,2,17718,17767,1.8302234017512418,0.002827809823455764,0.10422530877651379,1.876217190182837,1.7998025698223061,1.0,1.0,0.016902316086780056
S-A,4,3,15845,15891,1.7904540658675883,0.005191974559210063,0.1412259057938627,1.732408337262846,1.6984267735393126,1.0,1.0,0.054183844580182994
S-A,4,4,13876,13946,1.7759184389705083,0.008406297678814838,0.17970099156004624,1.7815618989324074,1.8113361252150642,1.0,1.0,-0.0195533483551269
S-A,4,5,11823,11943,1.6883166766207545,0.007543633652522118,0.1702308962396842,1.7702085827563347,1.7465523009571435,1.0,1.0,-0.03334318949651538
S-A,4,6,9878,10051,1.8209148890787923,0.019346646184374972,0.2726157453923298,1.801192605540804,1.75494264191473,1.0,1.0,0.037592252640281876
S-A,4,7,7914,7965,1.70415989067165,0.02271367976330325,0.29538731434705,2.064438868523614,2.172155656648604,0.0,0.0,-0.215452223483385
S-A,4,8,5996,5963,1.8202897788292494,0.06003743053633224,0.4802408948700686,1.4909399261520837,1.51562054094266,1.0,1.0,0.20101947001661546
S-A,4,9,4081,3978,1.8304963595718335,0.11052948373497837,0.6516091314895,1.390477317558835,1.3700488557504944,1.0,1.0,0.33608108345093446
S-A,5,2,18026,17648,1.9470583969191348,0.004513494285660888,0.13167536761218687,1.8428788396523643,1.8217370212188306,1.0,1.0,0.0687922429201433
S-A,5,3,16144,15841,1.8840877611655389,0.0072037219924807,0.16635143939817065,1.8300947192836214,1.8011531514861512,1.0,1.0,0.04604528471715885
S-A,5,4,14174,13866,1.8309753016774133,0.008006942512754267,0.17538055748118336,1.878501094332508,1.822182571556774,1.0,1.0,0.004825383722733667
S-A,5,5,12151,11895,1.727805189962941,0.01169809398253878,0.21198525022871864,1.6365882793030728,1.600544602222152,1.0,1.0,0.07951080373774277
S-A,5,6,10110,9929,1.790698572490505,0.025981260265157808,0.31592078345423913,1.6622845332204774,1.6675702546257662,1.0,1.0,0.07383695980615279
S-A,5,7,8052,7898,1.8162773627771802,0.019216211760296916,0.27169520821486487,1.9077362597420957,1.819714421924295,1.0,1.0,-0.0018887904089258667
S-A,5,8,6011,5871,1.6473541353358216,0.026748272443922975,0.32055013198880067,2.1353336020948883,1.9791648451918908,0.0,0.0,-0.16765188137923814
S-A,5,9,4051,3892,1.69209577194951,0.10502971637395205,0.635190782678496,1.889437255618125,1.8744857412910139,1.0,1.0,-0.09730133728085144
S-A,6,2,17869,17917,1.9228161204073786,0.0034631636936030123,0.11534123598392268,1.8622093211428048,1.8705509677049832,1.0,1.0,0.02794104710577372
S-A,6,3,16078,15974,1.8594301706520666,0.00680033744946053,0.16162678082213583,1.7951183999699325,1.8041627373595206,1.0,1.0,0.03063328609337801
S-A,6,4,14182,13956,1.8999816121473037,0.009375745004270507,0.1897802369774941,1.785414822088811,1.7432898969023953,1.0,1.0,0.08988276449219934
S-A,6,5,12162,11963,1.9290103593811707,0.014765240766026082,0.23815974550776497,2.0450001072986983,1.971967908490717,1.0,1.0,-0.021784101518378396
S-A,6,6,10095,10056,1.7816756147504027,0.018818534046607254,0.2688691570371584,1.7568838618125462,1.768834173168195,1.0,1.0,0.007259833497680113
S-A,6,7,8036,8027,1.5070728740743118,0.01715109494123296,0.25668117372834676,1.7118159862883606,1.962428462526271,1.0,0.0,-0.23203678358077384
S-A,6,8,6056,6010,1.7665670142834318,0.03168291286810165,0.3488676039738463,2.0351258927037565,1.7914468193715993,1.0,1.0,-0.013888106986561177
S-A,6,9,4059,4029,1.8838161721748026,0.15984663285096687,0.7836097611206754,1.5847775827506008,1.7004474083604546,1.0,1.0,0.10783559839180756
S-A,7,2,17871,17709,1.8450998035755672,0.0029221412761532423,0.10594944728781393,1.8430925047099986,1.8820863920125819,1.0,1.0,-0.01965190790071203
S-A,7,3,15982,15828,1.85668655193362,0.004890053606079746,0.13705816122632813,1.8603981851854408,1.9102855706247204,1.0,1.0,-0.028058118385709152
S-A,7,4,14007,13889,1.9297650734499083,0.011257645046084187,0.20795619698033435,1.9037004094824737,1.939392722157402,1.0,1.0,-0.0049642594805573426
S-A,7,5,12013,11964,1.7628729069327504,0.017450439696885263,0.25891146266357307,1.7179829463765746,1.7142443402927023,1.0,1.0,0.0283673485144742
S-A,7,6,10019,9959,1.6532160441978334,0.014647196023091643,0.23720581856552614,1.7371967517005298,1.7665744544323136,1.0,1.0,-0.06416848718154244
S-A,7,7,7951,7951,1.9003493883242102,0.034728536771898535,0.3652509328012865,1.893914825325346,1.7773554068063124,1.0,1.0,0.06920055552586568
S-A,7,8,5995,5890,1.766339290370636,0.05142496536889708,0.4444624695294751,2.1600182754898594,2.0491186328272626,1.0,1.0,-0.13800047392398307
S-A,7,9,3994,3901,1.5548636305043362,0.0807224977374835,0.5568591841409437,1.9886124120250557,1.8573939696568205,1.0,1.0,-0.16287892826979566
S-A,8,2,17607,17831,1.8339939950286728,0.0027766620025962106,0.10327842340953616,1.8533900344963523,1.7929056600875546,1.0,1.0,0.02291717621054956
S-A,8,3,15772,15886,1.7900335325714423,0.00505937072410878,0.13941077539160773,1.8113570919013509,1.7888332310272868,1.0,1.0,0.0006709968952589573
S-A,8,4,13828,13861,1.787455918664232,0.01000779398126315,0.19607276319013028,1.8167096653740302,1.7417218153728304,1.0,1.0,0.026257983845492383
S-A,8,5,11839,11880,1.7491642134247392,0.011545696096452274,0.2105998957995239,1.9766514462270763,1.9340068031228346,0.0,1.0,-0.09557494285936874
S-A,8,6,9865,9938,1.6142108360801388,0.011285081755251681,0.20820945427853632,1.741987237301851,1.728426209645716,1.0,1.0,-0.0660805609913705
S-A,8,7,7871,7925,1.7691787255731486,0.03161211191341393,0.34847758342618507,1.8072005548793422,1.712950569688507,1.0,1.0,0.03282532308849184
S-A,8,8,5910,5919,1.649709331895993,0.05997887602178958,0.4800066482343999,1.7438943706952146,1.7040279124087403,1.0,1.0,-0.03187657908488417
S-A,8,9,3881,3908,1.8300869237459185,0.10006385227797285,0.6199928773509037,1.6553929176851812,1.5122351250853028,1.0,1.0,0.21018675825472988
S-A,9,2,17872,17501,1.9178380438019926,0.003576849796297181,0.1172191161896548,1.8993931824474795,1.8551761761615504,1.0,1.0,0.03377677465117768
S-A,9,3,16022,15633,1.771240698213569,0.004763089965174706,0.13526719469435317,1.7590224096112614,1.7404642626473334,1.0,1.0,0.017682888541143083
S-A,9,4,14031,13756,1.847007710560128,0.008176360432313075,0.1772262731760827,1.8499007615752012,1.7936592273042495,1.0,1.0,0.029742819842126567
S-A,9,5,12056,11863,2.195422684480994,0.09687393242862975,0.6100305092561243,1.896714328334495,1.8614288762786528,1.0,1.0,0.17942872406173138
S-A,9,6,10049,9841,1.7808397981209643,0.018016355274623544,0.2630761997719705,1.8169223360053766,1.818998347484151,1.0,1.0,-0.020977781214569835
S-A,9,7,8032,7776,1.9571941805572126,0.07626837184254448,0.5412779413152932,1.6918369691561426,1.7950247957631107,1.0,1.0,0.09034381317566131
S-A,9,8,6040,5810,1.9273754655758657,0.04826351319632639,0.4305836718754153,2.1460583753752074,2.0142955875715107,1.0,1.0,-0.043151622101520015
S-A,9,9,4100,3904,1.6180653388904662,0.05198065330019654,0.4468574035701805,1.9778054187777518,1.5685575775125018,1.0,1.0,0.031562603813674706
S-B,0,2,17753,17839,1.901526821629258,0.0026188152972056343,0.1002999058983571,1.8347354683745267,1.8219287766955872,1.0,1.0,0.04368888946253824
S-B,0,3,15990,16068,1.866768986525648,0.007528228946375733,0.17005699482896872,1.7948789054552416,1.8312498250431706,1.0,1.0,0.01939613099028703
S-B,0,4,14031,14100,1.6889461640714403,0.005609368153822094,0.14679290436877596,1.8552855478093973,1.9706711318858199,0.0,0.0,-0.14295889519870564
S-B,0,5,11980,12110,1.7639720391487685,0.012730434238047327,0.2211412193486628,1.6680588569072337,1.6919422018086907,1.0,1.0,0.042572280106895954
S-B,0,6,9965,10090,1.7136824305689033,0.0148859402452808,0.23913119089646084,1.701048526067223,1.634272880754517,1.0,1.0,0.048590141064890124
S-B,0,7,7939,8087,1.888864104922304,0.13573349373465798,0.7220904560861006,1.896235684432519,2.1381990958284667,1.0,1.0,-0.116609810280345
S-B,0,8,5929,6049,1.873065569147097,0.16357630465982662,0.7926989582382712,1.8053182855641288,2.3387388166165706,1.0,1.0,-0.19911297668679317
S-B,0,9,3921,4056,2.193667866720311,0.3214211007323449,1.111182218434709,1.8746954858981841,1.7089275592566178,1.0,1.0,0.28365175857691427
S-B,1,2,17758,17865,1.8027644012982693,0.002204556988649671,0.0920256208333916,1.873136623735626,1.835569656112959,1.0,1.0,-0.01787197489642467
S-B,1,3,15908,16072,1.7452069223001077,0.0037717666837004905,0.12037062098660736,1.7841044778186983,1.7374659726876216,1.0,1.0,0.004455310051633354
S-B,1,4,13958,14040,1.711317784975354,0.006723838768258088,0.16071511984020095,1.876925459936792,1.8543128723781617,0.0,1.0,-0.07711486531364908
S-B,1,5,11960,12060,2.003709301073884,0.027458712939623466,0.324779178869004,1.8214476625582516,1.6271112320829377,1.0,0.0,0.23145195089634174
S-B,1,6,9963,10005,2.026463571446282,0.04579034842176922,0.4194064113094394,1.7596159627787022,1.5821040569807994,1.0,0.0,0.280866174702487
S-B,1,7,7921,7975,2.2732654513537867,0.08771120655077361,0.5804644589276707,1.9435819933067722,1.6865280147622563,1.0,0.0,0.34789664414453303
S-B,1,8,5928,6030,2.170831768947521,0.07903447210994101,0.5510060526215994,2.0855099445770007,1.5494684327484527,1.0,0.0,0.40101709919762074
S-B,1,9,3994,4055,2.2057471850410924,0.23659779553444044,0.9533523423229008,2.063844324581692,1.721330824912847,1.0,1.0,0.28141967431087633
S-B,2,2,17481,17916,1.875357144271616,0.0027519045618778297,0.10281696383833745,1.8966905296603365,1.8608384614100426,1.0,1.0,0.0078022263418673354
S-B,2,3,15750,16056,1.8286241409678228,0.0050500112395367325,0.13928176557153077,1.7940446458696835,1.724685259458503,1.0,1.0,0.06026541998854529
S-B,2,4,13838,14039,1.7788420589375877,0.006868502132655406,0.16243481185523478,1.7703484742044389,1.692498789163172,1.0,1.0,0.05101526236075293
S-B,2,5,11865,12054,1.7768356603307298,0.01235430238061745,0.2178498194939471,1.7753629131081103,1.7489881783615189,1.0,1.0,0.015922052712385337
S-B,2,6,9800,9994,1.9561560569697676,0.03466075153521003,0.36489429937561374,1.9968088072987271,1.8416201777202568,1.0,1.0,0.06219299757634866
S-B,2,7,7844,7997,1.7395255095417335,0.04161429729549123,0.39982447325389237,1.9392295608500163,1.863190787747629,1.0,1.0,-0.06637284760053574
S-B,2,8,5893,5990,1.6753502569415903,0.056979063252127635,0.4678490409574163,1.4934695898312116,1.459210513088028,1.0,1.0,0.14812101606653072
S-B,2,9,3883,3997,2.9102980890433363,0.4431460107077016,1.304732597771863,3.0036282841899533,1.6055415302677876,1.0,0.0,0.8126582428284674
S-B,3,2,17783,18044,1.7885152125389148,0.0026127197597774093,0.10018310919111446,1.779949520596542,1.8001887914235966,1.0,1.0,-0.006484641466659835
S-B,3,3,15900,16202,1.9041439560118565,0.0060738196734432155,0.15274923292721948,1.7801134782626393,1.7652068971664785,1.0,1.0,0.07870865396481319
S-B,3,4,13945,14143,1.8659199701914444,0.00819961640786094,0.17747813605141813,1.8155220228504483,1.741951942977603,1.0,1.0,0.07116615800659631
S-B,3,5,11995,12155,1.780597819606372,0.010513190341475515,0.2009626526768031,2.0306501218722732,1.9780141462254526,0.0,1.0,-0.09980531584963659
S-B,3,6,10025,10090,1.530650022178013,0.010611575715235208,0.2019007952751892,1.7595889714826656,1.7509295975496402,0.0,0.0,-0.12580721445333953
S-B,3,7,7975,8034,1.6333751687510067,0.02694975966598297,0.32175517398245057,1.7440576089610504,1.7208269608967615,1.0,1.0,-0.05081963156840685
S-B,3,8,5887,6029,1.9873590569576842,0.08874197988048159,0.5838652767357695,1.5924377737723054,1.3821699639579645,1.0,0.0,0.43785432239223887
S-B,3,9,3814,3996,1.7909351620739715,0.12617094544871774,0.696189982195445,1.365660741439911,1.2920167763056145,1.0,1.0,0.3861547271816095
S-B,4,2,17966,17562,1.820281346952879,0.002409752691161124,0.0962131266052211,1.9080327233358416,1.8654173894979542,1.0,1.0,-0.024196216245857438
S-B,4,3,16078,15767,1.8439772077928644,0.004396498963698263,0.1299575689379856,1.920851654817713,1.806828903317691,1.0,1.0,0.02055994588472765
S-B,4,4,14189,13814,1.8531745013445378,0.008800206358642973,0.18386307497792365,1.786191112678244,1.777235996366905,1.0,1.0,0.04272843062647236
S-B,4,5,12166,11969,1.776326841820701,0.016770449720651576,0.25381684736519033,1.8284213064325794,1.8443897500572657,1.0,1.0,-0.036902671051198044
S-B,4,6,10236,9913,1.7734305486210165,0.030827271789665857,0.3441245343394555,1.7157458086109476,1.6445048994423848,1.0,1.0,0.07839785045477665
S-B,4,7,8278,7896,1.5364491336521091,0.026120984867532792,0.31676913947637264,1.379219573026812,1.4577845116029136,1.0,1.0,0.05396176281410714
S-B,4,8,6207,5926,1.966662369969027,0.17532374368957238,0.8206698128196405,1.4820680751359352,1.3098562183436735,1.0,1.0,0.501433777560633
S-B,4,9,4168,3950,2.355305471153045,0.21218660479161822,0.9028322682591159,2.940452803659298,2.135600771735013,1.0,1.0,0.1028772335756083
S-B,5,2,17964,17600,1.8229891851644495,0.0025290071219581,0.09856508872944927,1.877704163599643,1.8663347053130177,1.0,1.0,-0.023224944606759834
S-B,5,3,16122,15780,1.8386778334855127,0.007259661422044828,0.1669960790107569,1.7750468907928998,1.705216310280573,1.0,1.0,0.0782666236537346
S-B,5,4,14140,13845,1.7515668979793515,0.008012308611388543,0.17543931597376347,1.83912688647773,1.829411145529002,1.0,1.0,-0.04255153235504139
S-B,5,5,12111,11800,1.8333885450972354,0.015155359076932873,0.24128549025349735,1.756303812399083,1.7191231036825372,1.0,1.0,0.06646728275010094
S-B,5,6,10089,9855,1.699445549166693,0.024816968052875595,0.3087610092443721,1.8052932947543983,1.8123495661518725,1.0,1.0,-0.062297041969064715
S-B,5,7,8127,7863,1.8749120225258218,0.05288962330123576,0.4507475013283176,2.106345506544439,1.8792405949374549,1.0,1.0,-0.0023033625514976563
S-B,5,8,6132,5854,1.8075169160800881,0.07876484511803725,0.5500653679693813,1.8438309120661902,1.6644318119468084,1.0,1.0,0.08596633584281221
S-B,5,9,4090,3923,3.0224980082903197,0.8808953902138357,1.8395443367436766,1.9388817593889176,1.4392926661022543,1.0,1.0,1.0999884731404497
S-B,6,2,17738,17729,1.8901930803592943,0.0054239552454955955,0.1443464607146958,1.8040424443726801,1.8277611854528795,1.0,1.0,0.03415757780792661
S-B,6,3,15848,15937,1.8545798926021178,0.005455035101459505,0.14475943046205206,1.8596489247827055,1.8432240245553884,1.0,1.0,0.0061608724145556515
S-B,6,4,13914,13962,2.126361392650885,0.025925128051580846,0.31557932731940785,1.8728672788247342,1.8271201334018758,1.0,1.0,0.16377755013396844
S-B,6,5,11913,12019,1.7277470640319255,0.01053516088307589,0.20117252968962632,1.7245537796777406,1.7701152960688287,1.0,1.0,-0.023935295136422452
S-B,6,6,9943,10023,1.7272295250333525,0.0220502658955914,0.29104155789727076,1.8980930989316374,2.0100041410251603,1.0,1.0,-0.1406835987151671
S-B,6,7,7960,8050,2.1683506941230544,0.06783642050696972,0.5104809652874578,2.396152242693599,2.013246080574593,1.0,1.0,0.077042054145807
S-B,6,8,6020,5929,1.5218720816460893,0.035534807740293856,0.3694665081379119,1.8749013102390795,1.6744878273724202,1.0,1.0,-0.09114174688615861
S-B,6,9,4027,3982,1.915592150374844,0.1715989454949767,0.811905341030276,2.6072933024289,2.089700542811318,1.0,1.0,-0.08331738872127681
S-B,7,2,17987,17445,1.8857078250243233,0.003028571362852685,0.10786163440228445,1.8559764934311287,1.8333694798099893,1.0,1.0,0.028547625446322167
S-B,7,3,16084,15608,1.8043401689694976,0.005138650717528879,0.14049880827009711,1.7885804190688535,1.7387107271895101,1.0,1.0,0.037746038345362054
S-B,7,4,14073,13675,1.721078407153155,0.007545611793278136,0.17025321430393586,1.8268193965741668,1.8499936351661,1.0,1.0,-0.06968414677889978
S-B,7,5,12015,11709,1.8042538728140953,0.014262421762748187,0.23406944671393762,1.9808251090368245,1.8526340195813649,1.0,1.0,-0.026114249363833775
S-B,7,6,10022,9703,1.7901790272253881,0.025869916931322817,0.315243113463965,1.706780041677201,1.710853911086505,1.0,1.0,0.04636580342999963
S-B,7,7,7969,7785,2.108673999805337,0.05556216873010321,0.4619954363033798,2.031099158819283,1.617024528009807,1.0,0.0,0.3040457725156711
S-B,7,8,5991,5774,1.8365573758906373,0.1677306081537764,0.8027018276998716,1.339488238780483,1.3503078709136065,1.0,1.0,0.3601026961710878
S-B,7,9,3990,3866,1.6022620019235925,0.10149059824636127,0.6243972724564131,1.68783445514597,1.422552850695963,1.0,1.0,0.1263286289431773
S-B,8,2,17710,17828,1.8310853123771107,0.002513765967450618,0.09826763683341468,1.86157389257759,1.8379013341494745,1.0,1.0,-0.0037085895992986506
S-B,8,3,15890,16028,1.8035424495917594,0.004916673620673397,0.13743070708036811,1.80715378504383,1.7488231392847662,1.0,1.0,0.03128921906269633
S-B,8,4,13914,14025,1.8931502570963328,0.009441928505053663,0.19044888957434666,1.8414712774568764,1.695117216469289,1.0,0.0,0.11682557330136811
S-B,8,5,11960,12102,1.6798007179191277,0.010535317800042836,0.20117402787584282,1.6126288597091074,1.5921478863681924,1.0,1.0,0.055053197194437686
S-B,8,6,10039,10068,1.8319607997647418,0.029420486415815475,0.336180884422577,1.9510874634051554,1.8757064409953361,1.0,1.0,-0.023322221577157243
S-B,8,7,8031,8010,2.157375303942728,0.13976527519555443,0.7327363435961836,1.9607987460066674,1.7594214364229825,1.0,1.0,0.22618450547516988
S-B,8,8,6057,6006,1.5319534130706352,0.04281657053007087,0.4055589877374349,1.7233545251450588,1.707186857786151,1.0,1.0,-0.10264456050391313
S-B,8,9,4051,3998,1.8736500741347026,0.12976098546722914,0.7060251285932035,2.8548974277150374,2.1772461952552877,0.0,1.0,-0.13944041871892565
S-B,9,2,17950,17848,1.9298554625768929,0.004043555797862249,0.12463207085925682,1.847524402042121,1.852397792720826,1.0,1.0,0.04181481437758361
S-B,9,3,16084,16063,1.884896880446936,0.004950664390065003,0.13790494331064246,1.8854758942907206,1.8360564476721581,1.0,1.0,0.026600725068502085
S-B,9,4,14081,14104,1.78414961529585,0.012247675708852622,0.2169076805573585,1.7961064894691448,1.799343623773579,1.0,1.0,-0.008444195025886225
S-B,9,5,12078,12106,1.6694948003473669,0.009739173976996245,0.19342346233124594,1.7104430528687393,1.7515908153970485,1.0,1.0,-0.04686940256139227
S-B,9,6,10018,10081,1.7588480619471594,0.0197871795634254,0.27570207737806224,1.7941687093227872,1.750117962233369,1.0,1.0,0.0049882921621178244
S-B,9,7,8078,8119,1.7145611166993409,0.022935480750562173,0.29682605147814667,1.9705335701497568,1.94341432918952,1.0,1.0,-0.1177583230981013
S-B,9,8,6103,6096,1.8684905292452036,0.12866969169609377,0.7030500139548772,1.6105905185132638,1.6314613933189754,1.0,1.0,0.14528638979560915
S-B,9,9,4096,3989,2.778758648021989,0.33910630060146696,1.141342582049079,2.4048780151990563,2.0078247875531723,1.0,1.0,0.383964709096112
S-C,0,2,17840,17898,1.8659646098862044,0.0032205356388610305,0.11122749227265036,1.8218534891950795,1.7717883981440998,1.0,1.0,0.053153193598485915
S-C,0,3,15984,16013,1.9059866658239837,0.008346038863116597,0.17905575837871068,1.9379292002556645,1.9337057640825888,1.0,1.0,-0.014334703228107704
S-C,0,4,14014,14007,1.9406393544671448,0.010407718370034246,0.19995204809120695,1.8630322992356774,1.838513310088169,1.0,1.0,0.055548166999170645
S-C,0,5,12021,12009,1.7786415257283388,0.02382267346581739,0.3025125106797736,1.712636422379239,1.739920415080825,1.0,1.0,0.022254529754290653
S-C,0,6,10025,10013,1.7084998833372436,0.016279421119333955,0.2500734409221812,1.5633241746242845,1.564523863048458,1.0,1.0,0.09202545495742709
S-C,0,7,7993,8007,1.8637227336456816,0.03292908825927922,0.3556623912519055,1.7429273690533065,1.7412294612166086,1.0,1.0,0.0703487249425967
S-C,0,8,6007,5989,1.7120317075167144,0.04047949466113059,0.3943352784411266,1.9168882435383154,1.778836135503829,1.0,1.0,-0.03755513318723602
S-C,0,9,3980,4001,1.7063639431341031,0.07362757791741562,0.5318245092483048,1.4949207067372952,1.4194689779412097,1.0,1.0,0.20211429037991668
S-C,1,2,17794,17920,1.845099171921731,0.004225172569852203,0.1274002607431147,1.7759426193527175,1.8092126242464506,1.0,1.0,0.019835450623293838
