scenario,seed,dy,n,alpha_hat,se,alpha_0,se_alpha_0,n_pool,cover
S-A,seed00,1,19178,1.5481572085184374,0.03426828259626379,1.5104238409240127,0.0030003583280352477,191752,1.0
S-A,seed00,2,17840,1.255865575688284,0.038348163199858176,1.2061280537286685,0.003847884946266353,177946,1.0
S-A,seed00,3,15984,0.9973944108009244,0.04639809954028555,1.004387811710042,0.004980795429309839,159174,1.0
S-A,seed00,4,14014,0.9637786037568331,0.05446747481643382,0.9140971752021998,0.006501326399142036,139514,1.0
S-A,seed00,5,12021,0.8874119770006683,0.08122929340125383,0.8558831508174528,0.007877994021157363,119679,1.0
S-A,seed00,6,10025,0.8789400410799572,0.06876652247333671,0.7894625656731209,0.008839466412734531,99989,1.0
S-A,seed00,7,7993,0.8066073537944003,0.07901595805904442,0.7294931050299486,0.009739942672675727,79655,1.0
S-A,seed00,8,6007,0.6246715740345664,0.07534741372308491,0.6706433573822833,0.010640918496425272,59539,1.0
S-A,seed00,9,3980,0.722430009122726,0.11012675747701463,0.6135974220715061,0.011879225044444542,39600,1.0
S-A,seed00,10,2018,0.7066780799973308,0.21363998579779644,0.5555127929020539,0.014638833541489238,19579,1.0
S-A,seed01,1,19087,1.4665577263807992,0.026026013703904463,1.5104238409240127,0.0030003583280352477,191752,1.0
S-A,seed01,2,17794,1.2541621778801606,0.044359623114655945,1.2061280537286685,0.003847884946266353,177946,1.0
S-A,seed01,3,15939,1.0402534639636654,0.043758272914939854,1.004387811710042,0.004980795429309839,159174,1.0
S-A,seed01,4,14035,0.9091966033577714,0.04475558075187562,0.9140971752021998,0.006501326399142036,139514,1.0
S-A,seed01,5,12088,0.9258062563655574,0.07376492548351907,0.8558831508174528,0.007877994021157363,119679,1.0
S-A,seed01,6,10050,0.7949718743083625,0.07407473442113403,0.7894625656731209,0.008839466412734531,99989,1.0
S-A,seed01,7,8070,0.8448813138078276,0.09301624567414912,0.7294931050299486,0.009739942672675727,79655,1.0
S-A,seed01,8,6013,0.7412397797536829,0.11511281662107291,0.6706433573822833,0.010640918496425272,59539,1.0
S-A,seed01,9,4025,0.7521121211518509,0.15454145379841033,0.6135974220715061,0.011879225044444542,39600,1.0
S-A,seed01,10,2001,0.5600995790155449,0.133994412853945,0.5555127929020539,0.014638833541489238,19579,1.0
S-A,seed02,1,19259,1.5126733716703986,0.02945071332705618,1.5104238409240127,0.0030003583280352477,191752,1.0
S-A,seed02,2,17850,1.167339336709756,0.033467891546567465,1.2061280537286685,0.003847884946266353,177946,1.0
