dy,replicates,coverage,mean_alpha_hat,mean_alpha_0,se_over_sd,target_se_over_interval_se
1,30,1.0,1.6933619244829876,1.6771404100198375,1.0211653502348348,0.0948969951200076
2,30,1.0,1.3856526486898622,1.3659564837734421,1.0890953305108173,0.10297522499698923
3,30,1.0,1.1744976153803035,1.1543312441623408,1.256597985635455,0.11477757959882885
4,30,0.9666666666666667,1.0765181681974771,1.0620104705418383,1.1061229142206717,0.12772435155099898
5,30,0.9666666666666667,1.0237736790497167,1.0000949746483867,0.8610915494259954,0.11796753121391705
6,30,0.9666666666666667,0.951005897122091,0.9274525178994604,1.2993614817465144,0.12847940378401695
7,30,0.9,0.8626061879012509,0.8535147260973959,0.7835796755808818,0.12489319573282903
8,30,1.0,0.7878688287699581,0.7866289884585819,0.8778727129296681,0.11916135233842075
9,30,0.9666666666666667,0.7927662747821155,0.7152174996016466,1.0792991700242154,0.08816386380456277
10,30,0.9333333333333333,0.5997486680092278,0.6470492580050625,1.087281367819383,0.1129821488829236
all,300,0.97,,,,
