scenario,dy,design,predictor,n,reps,n_all_zero_Y,alpha_n,alpha_P,V_n,mean_alpha_hat,sd_alpha_hat,coverage_alpha_n,coverage_alpha_n_Vn,coverage_alpha_P,mean_se_plugin,se_Vn,se_over_sd,sd_sqrtn_over_sqrtVn,bias_rel,misses_below,misses_above,mu_Y_folds,m_folds
S-A,1,random,f1,600,2000,0,1.512701144369873,1.512701144369873,19.50547343198326,1.5105733607933653,0.17084266098603312,0.9125,0.966,0.9125,0.1629223825811011,0.1803028629463181,0.9536399260043161,0.9475316042923757,-0.0014066119963133982,167,8,5414.36;5414.36;5414.36,3579.26;3579.26;3579.26
S-A,1,random,f2,600,2000,0,5.257967089599014,5.257967089599014,273.4123190804946,5.267874748832845,0.651478829795819,0.915,0.962,0.915,0.623448129280797,0.6750460713666075,0.9569737353955045,0.9650879509259603,0.0018843136643873297,160,10,5414.36;5414.36;5414.36,1029.74;1029.74;1029.74
S-A,1,random,f1,3000,2000,0,1.512701144369873,1.512701144369873,19.50547343198326,1.5106697538450666,0.08134027724239126,0.9325,0.954,0.9325,0.07765338407020474,0.08063389161715905,0.9546732160599882,1.0087604059665884,-0.001342889527364361,119,16,5414.36;5414.36;5414.36,3579.26;3579.26;3579.26
S-A,1,random,f2,3000,2000,0,5.257967089599014,5.257967089599014,273.4123190804946,5.250609240833991,0.3026278845056925,0.932,0.952,0.932,0.2927957986716605,0.30188978070398176,0.9675109719314479,1.0024449446416819,-0.0013993713995620618,114,22,5414.36;5414.36;5414.36,1029.74;1029.74;1029.74
S-A,1,random,f1,15000,2000,0,1.512701144369873,1.512701144369873,19.50547343198326,1.5134601647309223,0.03708016691835197,0.9425,0.941,0.9425,0.03583468663988961,0.036060572589263616,0.9664111469291705,1.0282744908324588,0.0005017649149498204,80,35,5414.36;5414.36;5414.36,3579.26;3579.26;3579.26
S-A,1,random,f2,15000,2000,0,5.257967089599014,5.257967089599014,273.4123190804946,5.258779241477916,0.14002750886053136,0.937,0.94,0.937,0.1342350865833005,0.13500921427332152,0.9586336833071838,1.037170015500205,0.0001544611948044911,83,43,5414.36;5414.36;5414.36,1029.74;1029.74;1029.74
S-A,2,random,f1,600,2000,0,1.209519688862977,1.209519688862977,25.194622276377604,1.2074221245881553,0.21422591213812947,0.8865,0.945,0.8865,0.18543317755304417,0.20491714698213034,0.865596396356944,1.0454269703296761,-0.0017342125921020685,218,9,3833.1;3833.1;3833.1,3169.11;3169.11;3169.11
S-A,2,random,f2,600,2000,0,7.182296151610542,7.182296151610543,1503.0419124897558,7.38061638450564,1.6922073302538598,0.93,0.943,0.93,1.5664491867328945,1.5827412467455295,0.9256839624361517,1.069162337010814,0.027612371964170098,127,13,3833.1;3833.1;3833.1,533.688;533.688;533.688
S-A,2,random,f1,3000,2000,0,1.209519688862977,1.209519688862977,25.194622276377604,1.207107734342349,0.09187189716951458,0.927,0.9585,0.927,0.08757155574377466,0.09164173408147186,0.9531919818983897,1.0025115531733402,-0.001994142421025985,130,16,3833.1;3833.1;3833.1,3169.11;3169.11;3169.11
S-A,2,random,f2,3000,2000,0,7.182296151610542,7.182296151610543,1503.0419124897558,7.230251456961192,0.708182211259524,0.951,0.9495,0.951,0.700060292548321,0.7078234037031543,0.9885313149891779,1.000506916774004,0.006676876633651081,84,14,3833.1;3833.1;3833.1,533.688;533.688;533.688
