scenario,dy,weighting,predictor,n,reps,n_folds,w_realised,w_nominal,alpha_w,alpha_w_nominal,alpha_P,alpha_equal_weight,V_w,mean_alpha_hat,sd_alpha_hat,coverage_alpha_w,coverage_alpha_w_Vw,coverage_alpha_P,coverage_alpha_equal,mean_se_plugin,se_Vw,se_over_sd,sd_sqrtn_over_sqrtVw
S-A,1,data,f1,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,1.512701144369873,1.512701144369873,1.512701144369873,1.512701144369873,19.50547343198326,1.5099052900098768,0.17432515298160692,0.9165,0.9595,0.9165,0.9165,0.16502595949434795,0.1803028629463181,0.9466560428704163,0.9668462837082574
S-A,1,data,f2,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,5.257967089599015,5.257967089599014,5.257967089599014,5.257967089599016,273.4123190804947,5.264805302965748,0.660844749777449,0.9275,0.9605,0.9275,0.9275,0.6301196111299334,0.6750460713666077,0.9535062680639246,0.9789624409480546
S-A,1,data,f1,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,1.512701144369873,1.512701144369873,1.512701144369873,1.512701144369873,19.505473431983262,1.509742678134276,0.08422641560270544,0.925,0.942,0.925,0.925,0.07820428702216295,0.08063389161715906,0.9285007139690146,1.0445535235060128
S-A,1,data,f2,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,5.257967089599015,5.257967089599014,5.257967089599014,5.257967089599016,273.4123190804947,5.251340369196707,0.313861886461154,0.9325,0.942,0.9325,0.9325,0.29530265740464506,0.3018897807039818,0.9408681657216574,1.0396572077705122
S-A,1,data,f1,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,1.512701144369873,1.512701144369873,1.512701144369873,1.512701144369873,19.505473431983262,1.5120984431719775,0.035157584729406964,0.9525,0.951,0.9525,0.9525,0.035453081137374935,0.036060572589263616,1.008404912062142,0.9749591369459978
S-A,1,data,f2,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,5.257967089599015,5.257967089599014,5.257967089599014,5.257967089599016,273.4123190804947,5.25424244589916,0.13085363134411454,0.9525,0.958,0.9525,0.9525,0.1331169077800817,0.13500921427332152,1.0172962447638558,0.969220005082067
S-A,1,proportional,f1,600,2000,180;180;240,0.300000;0.300000;0.400000,0.300000;0.300000;0.400000,1.512701144369873,1.512701144369873,1.512701144369873,1.512701144369873,19.50547343198326,1.5146490141224769,0.19681684214461653,0.9095,0.9515,0.9095,0.9095,0.16658134848647918,0.1803028629463181,0.8463775085065078,1.0915902217438176
S-A,1,proportional,f2,600,2000,180;180;240,0.300000;0.300000;0.400000,0.300000;0.300000;0.400000,5.257967089599015,5.257967089599016,5.257967089599014,5.257967089599016,273.4123190804947,5.2701311607300685,0.7139334224336242,0.914,0.9535,0.914,0.914,0.6339057535048389,0.6750460713666077,0.8879059777647185,1.0576069585714207
S-A,1,proportional,f1,3000,2000,900;900;1200,0.300000;0.300000;0.400000,0.300000;0.300000;0.400000,1.512701144369873,1.512701144369873,1.512701144369873,1.512701144369873,19.50547343198326,1.5131547367991207,0.08109714747512177,0.928,0.953,0.928,0.928,0.07819486429626434,0.08063389161715905,0.9642122655454957,1.0057451754922384
S-A,1,proportional,f2,3000,2000,900;900;1200,0.300000;0.300000;0.400000,0.300000;0.300000;0.400000,5.257967089599015,5.257967089599016,5.257967089599014,5.257967089599016,273.4123190804947,5.259905377397991,0.2987829265842939,0.941,0.953,0.941,0.941,0.29480551611007,0.3018897807039818,0.9866879593165048,0.9897086475983288
S-A,1,proportional,f1,15000,2000,4500;4500;6000,0.300000;0.300000;0.400000,0.300000;0.300000;0.400000,1.512701144369873,1.512701144369873,1.512701144369873,1.512701144369873,19.50547343198326,1.513891045555756,0.03725998605657862,0.9355,0.9435,0.9355,0.9355,0.03593373096217607,0.036060572589263616,0.9644053786711393,1.0332610766050927
S-A,1,proportional,f2,15000,2000,4500;4500;6000,0.300000;0.300000;0.400000,0.300000;0.300000;0.400000,5.257967089599015,5.257967089599016,5.257967089599014,5.257967089599016,273.4123190804947,5.26269368853959,0.13831756934429607,0.9455,0.9495,0.9455,0.9455,0.13472261162121654,0.13500921427332152,0.974009392009116,1.0245046613209443
S-A,2,data,f1,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,1.2095196888629767,1.209519688862977,1.209519688862977,1.2095196888629767,25.19462227637761,1.200857728984993,0.20098558412550865,0.896,0.957,0.896,0.896,0.18217865999879754,0.20491714698213034,0.906426502136756,0.9808138903233679
S-A,2,data,f2,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,7.182296151610543,7.182296151610544,7.182296151610543,7.182296151610543,1503.0419124897576,7.3588270271106495,1.6619447321521712,0.924,0.941,0.924,0.924,1.560430798174444,1.5827412467455304,0.9389185861516168,1.0500419671058052
S-A,2,data,f1,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,1.2095196888629767,1.209519688862977,1.209519688862977,1.2095196888629767,25.19462227637761,1.2087428835667693,0.09088986809559413,0.9375,0.956,0.9375,0.9375,0.08845283846560903,0.09164173408147187,0.9731870044368209,0.9917955940771558
S-A,2,data,f2,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,7.182296151610543,7.182296151610544,7.182296151610543,7.182296151610543,1503.0419124897574,7.2220378458795365,0.7054169453396573,0.948,0.9565,0.948,0.948,0.7023809322436,0.7078234037031548,0.9956961437967791,0.9966001994976326
S-A,2,data,f1,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,1.2095196888629767,1.209519688862977,1.209519688862977,1.2095196888629767,25.19462227637761,1.2095610596706228,0.0408995547748929,0.9365,0.9525,0.9365,0.9365,0.04043700429268155,0.040983429396426074,0.9886905741454356,0.9979534503879149
