scenario,variant,predictor,dy,Pbar,Qbar,Ptilde,Qtilde,alpha_Pk,EY_k,Ef_k,alpha_P,alpha_Q,between_term,identity_residual,pooled_rel_err_exact,pooled_rel_err_check,perdy_rel_err_exact,sum_Ptilde,sum_Qtilde
S-A,k=1..10,f1,1,0.17604642000814916,0.0,0.24509165575107622,0.0,1.512701144369873,5414.358088262999,3579.2648854763647,1.0939276761411303,0.74917864549181,-0.34474903064931983,-4.440892098500626e-16,0.4601693237305289,0.46016932373052954,2.220446049250313e-16,0.9999999999999998,0.9999999999999999
S-A,k=1..10,f1,2,0.1634793005307923,0.02153753933135104,0.20151524214216396,0.03703578269720666,1.209519688862977,3833.1038358073897,3169.1123932101873,1.0939276761411303,0.74917864549181,-0.34474903064931983,-4.440892098500626e-16,0.4601693237305289,0.46016932373052954,2.220446049250313e-16,0.9999999999999998,0.9999999999999999
S-A,k=1..10,f1,3,0.146423437438676,0.043759846536719015,0.15505039630743148,0.06464253609326552,1.007649905501887,2743.244157396778,2722.417917590566,1.0939276761411303,0.74917864549181,-0.34474903064931983,-4.440892098500626e-16,0.4601693237305289,0.46016932373052954,2.220446049250313e-16,0.9999999999999998,0.9999999999999999
S-A,k=1..10,f1,4,0.12840491444273808,0.06615167182008123,0.11841010197586795,0.08509974280546757,0.9196986540225316,2180.4451793733106,2370.825671905237,1.0939276761411303,0.74917864549181,-0.34474903064931983,-4.440892098500626e-16,0.4601693237305289,0.46016932373052954,2.220446049250313e-16,0.9999999999999998,0.9999999999999999
S-A,k=1..10,f1,5,0.11014510129912218,0.08859320331275086,0.0903934781332144,0.10142677798278527,0.856988795624219,1808.1712786747848,2109.9123908122247,1.0939276761411303,0.74917864549181,-0.34474903064931983,-4.440892098500626e-16,0.4601693237305289,0.46016932373052954,2.220446049250313e-16,0.9999999999999998,0.9999999999999999
S-A,k=1..10,f1,6,0.09183360876017409,0.11105181064366275,0.06867312475262402,0.11584868694154878,0.7982709717128391,1534.7159505934112,1922.5501176629186,1.0939276761411303,0.74917864549181,-0.34474903064931983,-4.440892098500626e-16,0.4601693237305289,0.46016932373052954,2.220446049250313e-16,0.9999999999999998,0.9999999999999999
S-A,k=1..10,f1,7,0.07346688700813929,0.13352167922174116,0.05087241065425401,0.1289801207285437,0.7353695048354466,1309.148184260707,1780.2590067338388,1.0939276761411303,0.74917864549181,-0.34474903064931983,-4.440892098500626e-16,0.4601693237305289,0.46016932373052954,2.220446049250313e-16,0.9999999999999998,0.9999999999999999
S-A,k=1..10,f1,8,0.05510016525610446,0.15599154779981958,0.035953423582756314,0.1419935872575449,0.6740776311742324,1130.8103570432884,1677.5669518560273,1.0939276761411303,0.74917864549181,-0.34474903064931983,-4.440892098500626e-16,0.4601693237305289,0.46016932373052954,2.220446049250313e-16,0.9999999999999998,0.9999999999999999
S-A,k=1..10,f1,9,0.036733443504069645,0.17846141637789797,0.022928868273115344,0.15539807199487987,0.6162322293667354,988.912570287042,1604.7725567734224,1.0939276761411303,0.74917864549181,-0.34474903064931983,-4.440892098500626e-16,0.4601693237305289,0.46016932373052954,2.220446049250313e-16,0.9999999999999998,0.9999999999999999
S-A,k=1..10,f1,10,0.018366721752034822,0.2009312849559764,0.011111298427496143,0.16957469349875767,0.5617328025610924,873.6861731399038,1555.341203427201,1.0939276761411303,0.74917864549181,-0.34474903064931983,-4.440892098500626e-16,0.4601693237305289,0.46016932373052954,2.220446049250313e-16,0.9999999999999998,0.9999999999999999
S-A,k=2..10,f1,2,0.19840838671082556,0.02153753933135104,0.2669400115621405,0.03703578269720666,1.209519688862977,3833.1038358073897,3169.1123932101873,0.9579669552208705,0.74917864549181,-0.20878830972906037,-1.1102230246251565e-16,0.27868961693642247,0.2786896169364226,0.0,1.0000000000000002,0.9999999999999999
S-A,k=2..10,f1,3,0.17770835759961642,0.043759846536719015,0.20538969729059606,0.06464253609326552,1.007649905501887,2743.244157396778,2722.417917590566,0.9579669552208705,0.74917864549181,-0.20878830972906037,-1.1102230246251565e-16,0.27868961693642247,0.2786896169364226,0.0,1.0000000000000002,0.9999999999999999
S-A,k=2..10,f1,4,0.15583998608757552,0.06615167182008123,0.15685361392272995,0.08509974280546757,0.9196986540225316,2180.4451793733106,2370.825671905237,0.9579669552208705,0.74917864549181,-0.20878830972906037,-1.1102230246251565e-16,0.27868961693642247,0.2786896169364226,0.0,1.0000000000000002,0.9999999999999999
S-A,k=2..10,f1,5,0.1336787702290359,0.08859320331275086,0.11974099746261124,0.10142677798278527,0.856988795624219,1808.1712786747848,2109.9123908122247,0.9579669552208705,0.74917864549181,-0.20878830972906037,-1.1102230246251565e-16,0.27868961693642247,0.2786896169364226,0.0,1.0000000000000002,0.9999999999999999
S-A,k=2..10,f1,6,0.1114548331243155,0.11105181064366275,0.09096882459412813,0.11584868694154878,0.7982709717128391,1534.7159505934112,1922.5501176629186,0.9579669552208705,0.74917864549181,-0.20878830972906037,-1.1102230246251565e-16,0.27868961693642247,0.2786896169364226,0.0,1.0000000000000002,0.9999999999999999
S-A,k=2..10,f1,7,0.08916386649945242,0.13352167922174116,0.06738885725904671,0.1289801207285437,0.7353695048354466,1309.148184260707,1780.2590067338388,0.9579669552208705,0.74917864549181,-0.20878830972906037,-1.1102230246251565e-16,0.27868961693642247,0.2786896169364226,0.0,1.0000000000000002,0.9999999999999999
