scenario,variant,predictor,n,reps,alpha_P,alpha_Q,pooled_rel_err_exact,pooled_rel_err_vs_realised,perdy_rel_err_vs_realised,pooled_rel_err_vs_population,perdy_rel_err_vs_population,sd_pooled_rel_err,sd_perdy_rel_err,mc_se_pooled,mc_se_perdy
S-A,k=1..10,f1,600,2000,1.0939276761411303,0.74917864549181,0.4601693237305289,0.6894757560011895,-0.03308749898139521,0.4685388290751609,-0.1656005540473518,0.7841698461692408,0.7622405742203547,0.008110410146832467,0.011780087823461752
S-A,k=1..10,f1,3000,2000,1.0939276761411303,0.74917864549181,0.4601693237305289,0.5028303286129133,0.0023983842286806425,0.4557660402293494,-0.02808759215234223,0.2970340249374508,0.3984568419199235,0.003594602876159468,0.00782175246727145
S-A,k=1..10,f1,15000,2000,1.0939276761411303,0.74917864549181,0.4601693237305289,0.4682339397033432,-0.004257579930575444,0.460174808393499,-0.010067106061084168,0.13251205057887155,0.17400634408707089,0.0016001201919094916,0.0034138868836574706
S-A,k=2..10,f1,600,2000,0.9579669552208705,0.74917864549181,0.27868961693642247,0.4994329672508227,0.011322229877061843,0.2996027889445561,-0.12423833964855015,0.7417921776106827,0.7858038967933948,0.008771315328819956,0.01230586399369383
S-A,k=2..10,f1,3000,2000,0.9579669552208705,0.74917864549181,0.27868961693642247,0.31594139414594496,-0.007698762296220601,0.27642440435511995,-0.038001580509424406,0.27792480859944496,0.3633667370186649,0.003848695512470246,0.0068689451839317
S-A,k=2..10,f1,15000,2000,0.9579669552208705,0.74917864549181,0.27868961693642247,0.28740713937738455,-2.36152920212076e-05,0.2765877850085342,-0.008656310994734615,0.12349690207723522,0.1656167615250652,0.0016519944664932502,0.0031891876130828436
S-B,k=1..10,f1,600,2000,1.142476746088345,0.7606600190948465,0.5019545097793412,0.7792248440270786,-0.0019739494681019066,0.4913437900328248,-0.15857817074928005,0.8774132466995546,0.7443591509911196,0.008083233617248206,0.01052993278607297
S-B,k=1..10,f1,3000,2000,1.142476746088345,0.7606600190948465,0.5019545097793412,0.5548661611695254,-0.013394659815390831,0.5014234832483118,-0.04655880241543319,0.3310505608137072,0.32261713157965577,0.0036928197569291886,0.005980219255547799
S-B,k=1..10,f1,15000,2000,1.142476746088345,0.7606600190948465,0.5019545097793412,0.5111809421260339,-0.0062119416721491275,0.5004719346357513,-0.013320228968868192,0.14851378313650096,0.15835231730337487,0.0016291070561503399,0.002936398920695564
S-B,k=2..10,f1,600,2000,1.0056620508789471,0.7606600190948465,0.3220913754289894,0.5660568925248028,0.003353989870939294,0.3132170877056105,-0.15599448764111976,0.7842193560501497,0.6626748153383061,0.008408443610147797,0.010059789597903834
S-B,k=2..10,f1,3000,2000,1.0056620508789471,0.7606600190948465,0.3220913754289894,0.37666118094484397,-0.004836463332351705,0.32391539798654173,-0.04148661530991323,0.3177352302677978,0.32194240102565097,0.003875072968868201,0.005797787045901718
S-B,k=2..10,f1,15000,2000,1.0056620508789471,0.7606600190948465,0.3220913754289894,0.3301258741281437,0.00025521317619847797,0.3194784925196034,-0.008087260492454864,0.1362580623231607,0.1603904603777168,0.0017380559940834515,0.00295030845177316
