scenario,dy,family,param,predictor,alpha_P,alpha_Q,discrepancy,cov_rho_r,identity_residual,E_Ptilde_rho,chi,sd_r,chi_bound,tv,range_r,tv_bound,ratio_chi_bound,ratio_tv_bound,rel_err_P_factor,r_min,r_max,support_P,support_Q
S-A,3,generator lower triangle,,f1,1.007649905501887,0.9350046582852202,-0.07264524721666688,-0.07264524721666707,1.942890293094024e-16,1.0,0.3058421263233836,0.5667262476658077,0.17332876062938313,0.11583378732064628,1.6782759435616819,0.19440105871188082,2.385961467133897,2.6760327228576037,0.07769506448224206,0.152641842243865,1.830917785805547,20,16
S-B,3,generator lower triangle,,f1,1.053931675608464,1.1296422792341245,0.07571060362566051,0.07571060362566048,2.7755575615628914e-17,1.0,0.4090713199107067,0.5834521301807178,0.23867353299773975,0.1689147709415626,1.6782759435616819,0.28348559658345635,3.1524452529506237,3.7443314807673107,-0.06702175105998232,0.152641842243865,1.830917785805547,20,16
S-A,3,type-mix shift eps,0.25,f1,1.007649905501887,1.079425138234308,0.07177523273242103,0.07177523273242047,5.689893001203927e-16,1.0,0.13537877806996346,0.5667262476658077,0.07672270690917253,0.053667015396314056,1.6782759435616819,0.09006806090238828,1.0689301028837586,1.2548626799743463,-0.06649394218280746,0.152641842243865,1.830917785805547,20,20
S-A,3,type-mix shift eps,0.5,f1,1.007649905501887,1.1339030319469727,0.12625312644508568,0.12625312644508543,2.498001805406602e-16,1.0,0.23813219874002442,0.5667262476658077,0.13495576744034243,0.09440064800654666,1.6782759435616819,0.1584303366060213,1.068930102883765,1.2548626799743547,-0.11134384765538752,0.152641842243865,1.830917785805547,20,20
S-A,3,type-mix shift eps,1.0,f1,1.007649905501887,1.2111210157557646,0.20347111025387754,0.2034711102538774,1.3877787807814457e-16,1.0,0.38377681590249324,0.5667262476658077,0.21749639481755148,0.1521372594834876,1.6782759435616819,0.2553283027105386,1.0689301028837663,1.2548626799743567,-0.16800229506950415,0.152641842243865,1.830917785805547,20,20
S-A,3,type-mix shift eps,2.0,f1,1.007649905501887,1.300754104036456,0.29310419853456904,0.2931041985345687,3.3306690738754696e-16,1.0,0.5528381690201419,0.5667262476658077,0.3133079010952206,0.21915676113682375,1.6782759435616819,0.36780552008482503,1.0689301028837659,1.254862679974356,-0.22533405631780679,0.152641842243865,1.830917785805547,20,20
S-A,3,reporting-delay scale,0.5,f1,1.007649905501887,0.9918452928272864,-0.01580461267460065,-0.015804612674601023,3.7470027081099033e-16,1.0000000000000002,0.3770400335813708,0.5667262476658077,0.2136784834513604,0.14162259314283882,1.6782759435616819,0.23768179113645,13.520007598462684,15.038760900380986,0.01593455429883539,0.152641842243865,1.830917785805547,20,20
S-A,3,reporting-delay scale,1.5,f1,1.007649905501887,1.0144023975545604,0.0067524920526733645,0.006752492052673059,3.0531133177191805e-16,1.0,0.33359946505959515,0.5667262476658077,0.18905957305654508,0.098901084757895,1.6782759435616819,0.1659833113413301,27.99848879225188,24.58104504922979,-0.00665662075420137,0.152641842243865,1.830917785805547,20,20
S-A,3,reporting-delay scale,2.0,f1,1.007649905501887,1.01330367657041,0.005653771068522939,0.005653771068522689,2.498001805406602e-16,1.0,1.1231710251086802,0.5667262476658077,0.636530500546801,0.16425262523295076,1.6782759435616819,0.27566122959531375,112.58512112219219,48.75705546870169,-0.005579542637858093,0.152641842243865,1.830917785805547,20,20
S-A,3,generator lower triangle,,f2,5.080395842583299,5.316199697445956,0.23580385486265687,0.23580385486265687,0.0,1.0,0.41849276958635184,16.694033867505283,6.986332468780643,0.1852227869658747,271.4422812894422,50.27729584080538,29.62772798116387,213.21659847371544,-0.04435571804722527,2.2385469629047114,273.6808282523469,20,16
