scenario,dy,design,learner,n,reps,n_defined,n_undefined,alpha_inf,V_inf,mbar_inf,mean_alpha_hat,mean_alpha_n,mean_alpha_pop,coverage_alpha_n,coverage_alpha_n_V,coverage_alpha_inf,coverage_alpha_inf_V,coverage_alpha_pop,mean_se_plugin,se_V,sd_alpha_hat,sd_alpha_hat_minus_alpha_n,sd_alpha_hat_minus_alpha_inf,se_over_sd,sd_sqrtn_over_sqrtV,mean_sqrtn_centring_bias,sd_sqrtn_centring_bias,mean_sqrtn_centring_bias_rel,mean_rel_centring_bias,mean_gap_pop_minus_n_over_se,mean_gap_inf_minus_n_over_se,mean_alpha_hat_over_alpha_inf,frac_fallback_cells,misses_below_n,misses_above_n
S-A,2,random,log,600,2000,2000,0,7.182296151610543,1503.0419124897564,533.687800515976,5.625442199308842,5.586454036107703,6.2707652529471964,0.915,0.947,0.569,0.759,0.797,1.3928785623665316,1.5827412467455297,2.0245771582547087,1.6207990785035211,2.0245771582547087,0.8593776865005206,1.0240455171281135,5736.24774607353,6650.656112519397,10.748320910704075,0.438798363715193,0.5257703079519991,1.691922609067989,0.7832372935565188,0.0012366666666666667,146,24
S-A,2,random,raw,600,2000,2000,0,1.0,16.84138946973455,3833.1038358073897,1.0113000358817783,1.0309829116948708,1.027284298828833,0.9075,0.94,0.9995,0.9985,0.9035,0.1599348199850209,0.1675380030009836,0.056746583330923674,0.17536274141126582,0.056746583330923674,0.9120228088242365,1.046704259750764,-125.27454911381304,16814.36597493064,-0.03268227381255529,-0.001334248241244758,-0.021261362755638332,-0.345861610573419,1.0113000358817783,0.0012366666666666667,171,14
S-A,2,random,log,3000,2000,2000,0,7.182296151610543,1503.0419124897564,533.687800515976,6.674134509279447,6.681860661825241,6.886665173983751,0.937,0.9425,0.659,0.7105,0.883,0.6994583786713174,0.7078234037031546,1.1712072253176933,0.7381785999582953,1.1712072253176933,0.9475462695760004,1.042885267845525,3150.934235315977,5605.172899987475,5.904077687872224,0.10779321769701875,0.28527042544056275,0.9625897401754343,0.9292480243637479,0.00025716666666666667,99,27
S-A,2,random,raw,3000,2000,2000,0,1.0,16.84138946973455,3833.1038358073897,1.001068941016806,1.0061388394437734,1.005415779698276,0.931,0.947,1.0,1.0,0.928,0.07321551492967339,0.07492527270495261,0.01220132837608314,0.0751545044385424,0.012201328376083138,0.9741999561655734,1.0030594714615517,-102.06043011012707,15930.821349556836,-0.026626054101826717,-0.0004861230149641146,-0.010069354266430547,-0.1888840794339024,1.001068941016806,0.00025716666666666667,125,13
S-A,2,random,log,15000,2000,2000,0,7.182296151610543,1503.0419124897564,533.687800515976,7.051294794892672,7.064074415466154,7.12613610653119,0.94,0.947,0.6835,0.6935,0.9265,0.3126910404328828,0.31654824934910597,0.5693147715150987,0.31579481352127314,0.5693147715150987,0.9901715514140917,0.9976198389048683,1542.2758397988066,5462.2531266993465,2.889846532575253,0.023595498132535385,0.19781245089645427,0.4952548335895388,0.981760518648553,5.920000000000001e-05,87,33
S-A,2,random,raw,15000,2000,2000,0,1.0,16.84138946973455,3833.1038358073897,0.9999543219160971,1.0021962626163945,1.0022119728756789,0.937,0.944,1.0,1.0,0.937,0.033102598210469666,0.03350760060019672,0.0024130093564744704,0.033254702183867585,0.0024130093564744704,0.9954260912469785,0.9924525059449453,-510.06976282762946,15639.546722010846,-0.13306964399522725,-0.0010865090934737277,0.00048421171583705095,-0.12038763688967156,0.9999543219160971,5.920000000000001e-05,92,34
S-A,3,random,log,600,2000,2000,0,5.0803958425833,1045.8676825304763,539.9666172472661,3.9126110584915397,3.790579470727406,4.226084671413932,0.9065,0.94,0.5535,0.824,0.7935,1.1607315795673685,1.3202699739892068,1.92217556294403,1.669845129724706,1.92217556294403,0.6951133125493675,1.2647755100263736,6949.225474597663,7544.253812547986,12.869731669755089,0.5254045952906151,0.4544314950848927,1.7578933763804634,0.7701390166680475,0.0033025,162,25
S-A,3,random,raw,600,2000,2000,0,1.0,28.851295398433248,2743.2441573967785,1.0445843310354708,1.0779322161207323,1.0614580134359497,0.898,0.9185,0.9995,0.9935,0.8945,0.21707234479560314,0.21928404486127595,0.10475514506684394,0.2423221091026825,0.10475514506684394,0.8958008231251406,1.1050603761709201,-1838.0341402620422,15086.250383734732,-0.6700220741584512,-0.027353536634823934,-0.06853354299022586,-0.5040878461294959,1.0445843310354708,0.0033025,197,7
S-A,3,random,log,3000,2000,2000,0,5.0803958425833,1045.8676825304763,539.9666172472661,4.599502689953121,4.609736866402711,4.77731988329966,0.935,0.9445,0.662,0.7545,0.885,0.5567662273956517,0.590442682098349,0.8453822132395762,0.6059795254703231,0.8453822132395762,0.9187871932859859,1.0263138892953307,4092.0638817189215,6083.900637651919,7.578364571091715,0.13836137415282984,0.3023902575221664,1.1162785337212915,0.9053433693887811,0.0004763333333333333,97,33
S-A,3,random,raw,3000,2000,2000,0,1.0,28.851295398433248,2743.2441573967785,1.0052177141450014,1.016632959487034,1.0149277384872126,0.9215,0.942,1.0,0.9995,0.923,0.09501717344401596,0.09806680613818529,0.022017617409308476,0.10069506137504686,0.022017617409308476,0.9436130446369843,1.0268006611040041,-1050.745340549655,14736.377402902242,-0.3830301935452831,-0.006993142573677375,-0.016491635103354732,-0.2713473158705,1.0052177141450014,0.0004763333333333333,141,16
