scenario,series,config,arm,h,n_seeds,mean_err_pct,min_err_pct,max_err_pct,sd_err_pct
S-A,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,1,30,0.9905665386273694,-12.638255230116647,17.0017595490908,7.48356643453025
S-A,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,2,30,-27.4828015237942,-37.14520353961284,-6.218656593343153,7.440947245477871
S-A,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,3,30,-41.66306117494864,-54.902697260413255,-21.73161911936843,8.233898069355922
S-A,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,4,30,-49.360250959485036,-69.23157470795556,-38.09045696705403,7.936336601104862
S-A,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,5,30,-54.920779540087764,-73.44472057327552,-15.732971960125175,10.739453783524665
S-A,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,6,30,-62.10210496072796,-80.40671805573629,-43.340444451378545,10.15008243367555
S-A,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,7,30,-65.64892669559701,-78.21062485260356,-34.276813938744866,10.873186377392681
S-A,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,8,30,-75.504403666403,-93.12538610570182,-30.275224511548615,15.061706111556719
S-A,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,9,30,-90.78207401131047,-98.8746194908897,-79.50850000665649,4.733638949721257
S-A,"log1p per-DY, uncorrected",random_forest__per_dy__log1p__two_stage,pred__none,1,30,-43.1838954373114,-50.17722873603662,-35.92157658119079,3.8747632039671664
S-A,"log1p per-DY, uncorrected",random_forest__per_dy__log1p__two_stage,pred__none,2,30,-58.34227823820838,-64.51491092702808,-46.52568306706556,4.2582392451930655
S-A,"log1p per-DY, uncorrected",random_forest__per_dy__log1p__two_stage,pred__none,3,30,-66.18889263965077,-73.82195691643554,-55.056509541424624,4.539413939034413
S-A,"log1p per-DY, uncorrected",random_forest__per_dy__log1p__two_stage,pred__none,4,30,-70.275895786643,-82.24999370018101,-63.189868235743674,4.561287617685016
S-A,"log1p per-DY, uncorrected",random_forest__per_dy__log1p__two_stage,pred__none,5,30,-73.51097000697443,-84.05529748471717,-51.88957429319865,6.088664376123347
S-A,"log1p per-DY, uncorrected",random_forest__per_dy__log1p__two_stage,pred__none,6,30,-77.67961966022072,-89.02025562507875,-68.86470388674282,5.759564432683625
S-A,"log1p per-DY, uncorrected",random_forest__per_dy__log1p__two_stage,pred__none,7,30,-79.26927592213414,-86.4474940112487,-62.35481027985439,5.524792045426631
S-A,"log1p per-DY, uncorrected",random_forest__per_dy__log1p__two_stage,pred__none,8,30,-84.2262010522871,-95.133725448487,-61.38555788892906,7.912891953881591
S-A,"log1p per-DY, uncorrected",random_forest__per_dy__log1p__two_stage,pred__none,9,30,-90.78207401131047,-98.8746194908897,-79.50850000665649,4.733638949721257
S-A,"Poisson per-DY, uncorrected",random_forest_poisson__per_dy__raw__two_stage,pred__none,1,30,2.9399648005611523,-7.637820865576684,15.6708598007536,6.794355839223585
S-A,"Poisson per-DY, uncorrected",random_forest_poisson__per_dy__raw__two_stage,pred__none,2,30,-22.743298366402577,-34.72682700194808,7.477929888018675,9.385858982467589
S-A,"Poisson per-DY, uncorrected",random_forest_poisson__per_dy__raw__two_stage,pred__none,3,30,-35.03270079553519,-51.5639515723892,-7.975402681092381,9.9157403059902
S-A,"Poisson per-DY, uncorrected",random_forest_poisson__per_dy__raw__two_stage,pred__none,4,30,-40.57024532615445,-64.25651952969018,-18.470027237966057,9.747757331129906
S-A,"Poisson per-DY, uncorrected",random_forest_poisson__per_dy__raw__two_stage,pred__none,5,30,-45.270044046135936,-66.99923798442852,-20.1970274337541,10.600813028884131
S-A,"Poisson per-DY, uncorrected",random_forest_poisson__per_dy__raw__two_stage,pred__none,6,30,-50.400065287655664,-73.5875035357347,-6.397388633880963,14.027387887917675
S-A,"Poisson per-DY, uncorrected",random_forest_poisson__per_dy__raw__two_stage,pred__none,7,30,-51.735332801367605,-68.98073190948261,-21.876769846420807,11.35917006550541
S-A,"Poisson per-DY, uncorrected",random_forest_poisson__per_dy__raw__two_stage,pred__none,8,30,-60.1339268938153,-85.2281673230189,-21.24248065931943,15.933616105869438
S-A,"Poisson per-DY, uncorrected",random_forest_poisson__per_dy__raw__two_stage,pred__none,9,30,-73.8191807937473,-95.63079315545731,-37.049516200252306,14.6644963707161
S-A,"multi-step log1p, per-h calibrated",random_forest__multi_step__log1p__two_stage,pred__cv_dy,1,30,4.1365547407900705,-6.354739437972667,18.190779748405884,6.626006127992292
S-A,"multi-step log1p, per-h calibrated",random_forest__multi_step__log1p__two_stage,pred__cv_dy,2,30,4.264166808660536,-11.87142652995451,23.587168987902672,8.41486653162623
S-A,"multi-step log1p, per-h calibrated",random_forest__multi_step__log1p__two_stage,pred__cv_dy,3,30,7.49005486421599,-16.330510068328362,37.11016137711525,13.753877044955964
S-A,"multi-step log1p, per-h calibrated",random_forest__multi_step__log1p__two_stage,pred__cv_dy,4,30,7.832003799521011,-12.477614252848468,29.42957067235539,12.0486396351713
S-A,"multi-step log1p, per-h calibrated",random_forest__multi_step__log1p__two_stage,pred__cv_dy,5,30,8.304453541762193,-22.060091447929974,72.1528641694763,19.79733821750346
S-A,"multi-step log1p, per-h calibrated",random_forest__multi_step__log1p__two_stage,pred__cv_dy,6,30,8.290156595096105,-22.96326381747744,81.42080526745632,23.714905836804977
S-A,"multi-step log1p, per-h calibrated",random_forest__multi_step__log1p__two_stage,pred__cv_dy,7,30,18.33781480066307,-21.046195362896604,66.76194975620204,25.254133690677623
S-A,"multi-step log1p, per-h calibrated",random_forest__multi_step__log1p__two_stage,pred__cv_dy,8,30,-21.87487421487589,-64.12186620040539,43.826269639969894,28.732207090366067
S-A,"multi-step log1p, per-h calibrated",random_forest__multi_step__log1p__two_stage,pred__cv_dy,9,30,-52.585828839853114,-88.98156059236251,0.40609587039321937,25.535963075229983
S-B,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,1,10,2.459099365767255,-14.76504674552227,10.316929626181114,7.508364354864949
S-B,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,2,10,-26.25655501933885,-34.578589716229594,-18.55672698490909,4.826509195404751
S-B,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,3,10,-41.438944538732414,-57.6270807015437,-19.11958345509184,10.332275071165714
S-B,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,4,10,-52.76303116683042,-69.66940985766303,-33.32916653102808,10.358344938922691
S-B,"log1p per-DY, calibrated",random_forest__per_dy__log1p__two_stage,pred__cv_global,5,10,-59.335318384786774,-81.88616242668462,-44.40064243119931,10.970883915493818
