scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-A,chain_ladder_rbns_cohort,none,30,2.286396129633521,9.436158681336781,9.555137966856284,1.4628131052042326,8.002911451825613
S-A,chain_ladder_total,none,30,2.087012326217674,8.388549788869218,8.507514076280513,,
S-A,random_forest__multi_step__log1p__two_stage,cv_dy,30,4.397862606737856,6.694986157995781,7.916434835726646,3.5938245960063964,6.334354460998859
S-A,random_forest__multi_step__log1p__two_stage,cv_dy_bs1,30,3.556214119017415,6.575941148178398,7.378904217099433,2.7604834729481893,5.825916518431825
S-A,random_forest__multi_step__log1p__two_stage,cv_dy_bsmean,30,4.273783681838027,6.7575813089802175,7.89987142944161,3.4736581628936656,6.378369897349415
S-A,random_forest__multi_step__log1p__two_stage,cv_dy_heur,30,4.051585630464023,6.63577514062637,7.679913678814299,3.2462477746059863,6.024407638563034
S-A,random_forest__multi_step__log1p__two_stage,cv_dy_zcv,30,1.7621698698035289,7.323669705103377,7.413063424422507,0.9636314604055448,5.884426640401473
S-A,random_forest__multi_step__log1p__two_stage,cv_global,30,4.397862606737856,6.694986157995781,7.916434835726646,3.5938245960063964,6.334354460998859
S-A,random_forest__multi_step__log1p__two_stage,cv_type,30,5.910402435638337,6.729652977978356,8.8719489693685,5.0983032228006575,7.340911912835112
S-A,random_forest__multi_step__log1p__two_stage,cv_type_bs1,30,4.351060376716443,6.544580172049015,7.767595405009822,3.549424741386793,6.188617273269511
S-A,random_forest__multi_step__log1p__two_stage,duan,30,9.626946543830082,7.138200718101569,11.913586596820352,8.789942166439126,10.496201043895523
S-A,random_forest__multi_step__log1p__two_stage,insample_global,30,3.083687471723694,6.967929788589297,7.512840504364429,2.2891414424233507,6.027459112185415
S-A,random_forest__multi_step__log1p__two_stage,iso_global,30,5.971948086143818,6.6046692371500635,8.822231264520406,5.1578844511286235,7.256407844539343
S-A,random_forest__multi_step__log1p__two_stage,none,30,-41.89512232539656,3.819913921427085,42.063126674259685,-42.3472363021719,42.44727476811765
S-A,random_forest__multi_step__log1p__two_stage,paper,30,5.1030375961884715,6.751509197684915,8.372839419196826,4.291912005777289,6.767657264637393
S-A,random_forest__multi_step__log1p__two_stage,shift_dy_bs1,30,3.5596179821171776,6.574493649759272,7.379298614207595,2.7638779919134193,5.82615395297707
S-A,random_forest__multi_step__log1p__two_stage,shift_global,30,4.400694666246192,6.693447914066344,7.916751250222708,3.5966522799039637,6.334603596525987
S-A,random_forest_poisson__multi_step__raw__two_stage,cv_dy,30,8.909617981520844,7.936267645074005,11.84340147816833,8.086596555221556,10.603337803271156
S-A,random_forest_poisson__multi_step__raw__two_stage,cv_dy_bs1,30,8.961812499073494,7.805235945887233,11.798519730619645,8.148956368463306,10.656687589479727
S-A,random_forest_poisson__multi_step__raw__two_stage,cv_dy_bsmean,30,8.738000083627314,7.8882085139884195,11.683422068738752,7.917511127932274,10.453338921942306
S-A,random_forest_poisson__multi_step__raw__two_stage,cv_dy_heur,30,9.296946113803747,7.966574220248716,12.15664297230713,8.475555784514642,10.96327558187977
S-A,random_forest_poisson__multi_step__raw__two_stage,cv_dy_zcv,30,10.229596497562577,8.419320141789065,13.15928434342898,9.41737397687291,12.148267260161525
S-A,random_forest_poisson__multi_step__raw__two_stage,cv_global,30,8.909617981520844,7.936267645074005,11.84340147816833,8.086596555221556,10.603337803271156
S-A,random_forest_poisson__multi_step__raw__two_stage,cv_type,30,11.578373915497798,8.287834776058585,14.158295835298032,10.730759339171302,12.883663694767886
S-A,random_forest_poisson__multi_step__raw__two_stage,cv_type_bs1,30,10.807032091228281,8.064184117456035,13.403555719225915,9.974173346433941,12.206891060568621
S-A,random_forest_poisson__multi_step__raw__two_stage,duan,30,10.441459486999607,8.260162761331895,13.228001440160634,9.638527062255097,12.310100756743104
S-A,random_forest_poisson__multi_step__raw__two_stage,insample_global,30,11.085339822675598,7.933331884142745,13.55450436602859,10.27166979658313,12.554693035543933
S-A,random_forest_poisson__multi_step__raw__two_stage,iso_global,30,8.893217231105199,6.895127071712793,11.18245638534713,8.0656717217388,9.80771967289228
S-A,random_forest_poisson__multi_step__raw__two_stage,none,30,10.441459486999607,8.260162761331895,13.228001440160634,9.638527062255097,12.310100756743104
S-A,random_forest_poisson__multi_step__raw__two_stage,paper,30,10.441459486999607,8.260162761331895,13.228001440160634,9.638527062255097,12.310100756743104
S-A,random_forest_poisson__multi_step__raw__two_stage,shift_dy_bs1,30,8.96298753736712,7.805256746531928,11.799425581144664,8.150130340743432,10.657662271379357
